"Review_ID","Review_Score","Review_Description"
"RV00182",5.6,"natural"
"RV00183",1.6,"natural"
"RV00184",9.9,"Good"
"RV00185",9.5,"Good"
"RV00186",6.2,"So so"
"RV00187",9.2,"Perfect"
"RV00188",4.5,"So so"
"RV00189",4,"natural"
"RV00190",7.1,"Perfect"
"RV00191",4.4,"Poor"
"RV00192",9.6,"Good"
"RV00193",3.2,"So so"
"RV00194",2.9,"natural"
"RV00195",6.2,"Perfect"
"RV00196",8.2,"Bad"
"RV00197",4.9,"natural"
"RV00198",5.6,"Poor"
"RV00199",1.8,"Poor"
"RV00200",1.6,"Perfect"
"RV00201",5.9,"Perfect"
"RV00202",6.9,"Poor"
"RV00203",8.8,"Bad"
"RV00204",5.7,"natural"
"RV00205",7.5,"Good"
"RV00206",8.3,"Bad"
"RV00207",5.4,"Good"
"RV00208",8.8,"Bad"
"RV00209",2.7,"Poor"
"RV00210",7.1,"Good"
"RV00211",7.1,"Good"
"RV00212",9.3,"Perfect"
"RV00213",6.5,"Bad"
"RV00214",3.8,"natural"
"RV00215",2.6,"Perfect"
"RV00216",9.6,"Poor"
"RV00217",5.9,"natural"
"RV00218",2.7,"Perfect"
"RV00219",3,"Perfect"
"RV00220",7,"Perfect"
"RV00221",6.5,"Bad"
"RV00222",7.2,"So so"
"RV00223",5.6,"Perfect"
"RV00224",1.8,"natural"
"RV00225",5.5,"So so"
"RV00226",6.5,"Bad"
"RV00227",3.8,"Bad"
"RV00228",6.5,"natural"
"RV00229",2.7,"natural"
"RV00230",2.7,"So so"
"RV00231",5.6,"So so"
"RV00232",7.5,"natural"
"RV00233",6.3,"Good"
"RV00234",9.6,"Bad"
"RV00235",6.9,"Poor"
"RV00236",5.2,"Poor"
"RV00237",6,"Bad"
"RV00238",5.9,"Poor"
"RV00239",1.1,"Bad"
"RV00240",2.1,"natural"
"RV00241",5.8,"Good"
"RV00242",9,"Perfect"
"RV00243",1.3,"natural"
"RV00244",1.5,"Poor"
"RV00245",2.1,"Perfect"
"RV00246",9.2,"natural"
"RV00247",6.3,"natural"
"RV00248",2.5,"So so"
"RV00249",9.2,"Bad"
"RV00250",9.1,"Good"
"RV00251",8.7,"So so"
"RV00252",1.7,"Poor"
"RV00253",4.5,"natural"
"RV00254",4.3,"Bad"
"RV00255",6.5,"Perfect"
"RV00256",5.3,"Bad"
"RV00257",6.3,"Poor"
"RV00258",1.5,"Bad"
"RV00259",6.2,"Bad"
"RV00260",6.9,"Perfect"
"RV00261",2,"natural"
"RV00262",4.2,"Bad"
"RV00263",4.2,"Bad"
"RV00264",5.6,"Poor"
"RV00265",7.5,"natural"
"RV00266",6.9,"So so"
"RV00267",4.3,"So so"
"RV00268",7.8,"Bad"
"RV00269",9,"Good"
"RV00270",5.9,"Perfect"
"RV00271",5.7,"Bad"
"RV00272",8.5,"Bad"
"RV00273",2.7,"Perfect"
"RV00274",3.2,"So so"
"RV00275",7.3,"Perfect"
"RV00276",8.6,"Perfect"
"RV00277",9.8,"So so"
"RV00278",1.6,"Good"
"RV00279",5,"Good"
"RV00280",1.7,"Bad"
"RV00281",5.8,"Bad"
"RV00282",8.6,"So so"
"RV00283",5.7,"Bad"
"RV00284",3.6,"Perfect"
"RV00285",1.7,"Good"
"RV00286",3.8,"Bad"
"RV00287",6.4,"Poor"
"RV00288",2.3,"Poor"
"RV00289",4.1,"Perfect"
"RV00290",8.2,"natural"
"RV00291",3.6,"Good"
"RV00292",5,"Perfect"
"RV00293",7.3,"Bad"
"RV00294",6.5,"Bad"
"RV00295",7.4,"So so"
"RV00296",7.2,"Perfect"
"RV00297",8.3,"So so"
"RV00298",3.6,"So so"
"RV00299",4.7,"Bad"
"RV00300",6.7,"Good"
"RV00301",9.4,"Perfect"
"RV00302",8.1,"natural"
"RV00303",1.9,"Good"
"RV00304",4.2,"natural"
"RV00305",9.2,"Poor"
"RV00306",7.2,"Good"
"RV00307",3.5,"Good"
"RV00308",3.7,"natural"
"RV00309",5.9,"Good"
"RV00310",8.5,"So so"
"RV00311",6.4,"Perfect"
"RV00312",4.9,"So so"
"RV00313",3,"Bad"
"RV00314",6.5,"Perfect"
"RV00315",2.7,"natural"
"RV00316",7.2,"So so"
"RV00317",2,"Poor"
"RV00318",3.2,"natural"
"RV00319",6.3,"Good"
"RV00320",7,"natural"
"RV00321",4.1,"So so"
"RV00322",9,"Perfect"
"RV00323",6.5,"So so"
"RV00324",7.6,"Poor"
"RV00325",5.5,"Bad"
"RV00326",1.3,"Poor"
"RV00327",3.8,"Bad"
"RV00328",5.3,"Good"
"RV00329",3,"natural"
"RV00330",5.6,"So so"
"RV00331",8.4,"Bad"
"RV00332",1.2,"Good"
"RV00333",6.6,"So so"
"RV00334",9.2,"Good"
"RV00335",9.7,"So so"
"RV00336",2.5,"Good"
"RV00337",9.8,"Perfect"
"RV00338",6.4,"Poor"
"RV00339",5,"natural"
"RV00340",5.5,"Poor"
"RV00341",8.4,"Bad"
"RV00342",8.1,"So so"
"RV00343",8.4,"Perfect"
"RV00344",4.6,"So so"
"RV00345",9.7,"Bad"
"RV00346",3.4,"Good"
"RV00347",9.9,"Bad"
"RV00348",2.9,"Bad"
"RV00349",9.3,"Bad"
"RV00350",3.4,"Bad"
"RV00351",4.8,"Poor"
"RV00352",7.3,"natural"
"RV00353",9.9,"Bad"
"RV00354",4.4,"Bad"
"RV00355",2.6,"natural"
"RV00356",1,"Bad"
"RV00357",7.8,"So so"
"RV00358",5.2,"natural"
"RV00359",10,"natural"
"RV00360",6.3,"Perfect"
"RV00361",6.7,"Bad"
"RV00362",4,"natural"
"RV00363",1.8,"Poor"
"RV00364",1.3,"Poor"
"RV00365",5.1,"Perfect"
"RV00366",8.1,"Poor"
"RV00367",7.7,"natural"
"RV00368",3.3,"Bad"
"RV00369",2.6,"Poor"
"RV00370",7.2,"Bad"
"RV00371",6.4,"Poor"
"RV00372",10,"Bad"
"RV00373",6.5,"Perfect"
"RV00374",1.3,"So so"
"RV00375",8.5,"natural"
"RV00376",2.3,"natural"
"RV00377",7.8,"Good"
"RV00378",8.9,"Poor"
"RV00379",2.8,"Perfect"
"RV00380",3.2,"Poor"
"RV00381",3,"Perfect"
"RV00382",6.5,"Perfect"
"RV00383",7.4,"Bad"
"RV00384",8.4,"Bad"
"RV00385",2.5,"Perfect"
"RV00386",6.8,"So so"
"RV00387",3.9,"Poor"
"RV00388",6.8,"Poor"
"RV00389",2.8,"Poor"
"RV00390",8.8,"natural"
"RV00391",9.5,"Poor"
"RV00392",9.4,"natural"
"RV00393",1.3,"Bad"
"RV00394",1.3,"So so"
"RV00395",3.1,"Good"
"RV00396",4.3,"natural"
"RV00397",2.8,"Good"
"RV00398",1.6,"natural"
"RV00399",1.4,"Poor"
"RV00400",4.8,"natural"
"RV00401",4.7,"So so"
"RV00402",6.2,"Bad"
"RV00403",3.3,"So so"
"RV00404",1,"Bad"
"RV00405",3.8,"So so"
"RV00406",1.4,"natural"
"RV00407",5.8,"Perfect"
"RV00408",3.6,"Bad"
"RV00409",7.1,"Poor"
"RV00410",4.3,"Poor"
"RV00411",3.2,"Good"
"RV00412",6.7,"Bad"
"RV00413",4.7,"Perfect"
"RV00414",6.3,"Good"
"RV00415",4.2,"Poor"
"RV00416",1.7,"Perfect"
"RV00417",5.8,"Good"
"RV00418",4.3,"natural"
"RV00419",6.9,"Poor"
"RV00420",3.8,"natural"
"RV00421",2.8,"Poor"
"RV00422",3.4,"So so"
"RV00423",6.5,"Bad"
"RV00424",3.3,"So so"
"RV00425",5,"Perfect"
"RV00426",2.2,"So so"
"RV00427",6.9,"Good"
"RV00428",8.4,"natural"
"RV00429",4,"So so"
"RV00430",2.4,"natural"
"RV00431",5.3,"natural"
"RV00432",5.8,"Bad"
"RV00433",7.3,"natural"
"RV00434",5.8,"Good"
"RV00435",7.3,"Bad"
"RV00436",4.1,"Bad"
"RV00437",3.4,"natural"
"RV00438",9.5,"So so"
"RV00439",1.4,"Good"
"RV00440",8.5,"Poor"
"RV00441",7.5,"Good"
"RV00442",1.4,"So so"
"RV00443",1.5,"So so"
"RV00444",3.6,"Bad"
"RV00445",5.7,"Good"
"RV00446",8.3,"So so"
"RV00447",7.9,"Poor"
"RV00448",4.4,"Perfect"
"RV00449",9.4,"So so"
"RV00450",8,"So so"
"RV00451",7.5,"Good"
"RV00452",5.4,"Bad"
"RV00453",8.5,"Bad"
"RV00454",4,"So so"
"RV00455",4.1,"Poor"
"RV00456",3.6,"Bad"
"RV00457",3.9,"Bad"
"RV00458",1.8,"natural"
"RV00459",9.5,"Perfect"
"RV00460",4.8,"Bad"
"RV00461",9.7,"Perfect"
"RV00462",9.6,"Poor"
"RV00463",8.7,"So so"
"RV00464",6.7,"Good"
"RV00465",8.2,"natural"
"RV00466",1.1,"natural"
"RV00467",2.5,"Poor"
"RV00468",2.8,"Good"
"RV00469",8.1,"natural"
"RV00470",6.7,"natural"
"RV00471",1.9,"Perfect"
"RV00472",6.5,"Good"
"RV00473",5.4,"Poor"
"RV00474",8.5,"natural"
"RV00475",8.1,"Good"
"RV00476",1.9,"So so"
"RV00477",6.9,"Perfect"
"RV00478",3.7,"natural"
"RV00479",5.7,"So so"
"RV00480",9.5,"natural"
"RV00481",9.5,"Bad"
"RV00482",3.5,"Good"
"RV00483",4.3,"Poor"
"RV00484",9.5,"natural"
"RV00485",3.1,"Poor"
"RV00486",4.2,"Perfect"
"RV00487",1.3,"Good"
"RV00488",8.8,"natural"
"RV00489",4.1,"Perfect"
"RV00490",7.4,"Bad"
"RV00491",7.5,"Poor"
"RV00492",7.7,"Bad"
"RV00493",7.5,"natural"
"RV00494",1.2,"Bad"
"RV00495",8.5,"Perfect"
"RV00496",7.8,"natural"
"RV00497",7.5,"Perfect"
"RV00498",9.7,"natural"
"RV00499",1.7,"So so"
"RV00500",4.7,"Bad"
"RV00501",5.6,"So so"
"RV00502",1,"Bad"
"RV00503",10,"natural"
"RV00504",9,"Poor"
"RV00505",4.3,"So so"
"RV00506",4.2,"Perfect"
"RV00507",7.3,"Perfect"
"RV00508",5.2,"Bad"
"RV00509",5.5,"Bad"
"RV00510",6.7,"Perfect"
"RV00511",6.2,"So so"
"RV00512",7.8,"Bad"
"RV00513",4.5,"Perfect"
"RV00514",8.4,"Perfect"
"RV00515",2.9,"natural"
"RV00516",6.4,"Bad"
"RV00517",3.1,"Bad"
"RV00518",3.7,"Perfect"
"RV00519",9.9,"natural"
"RV00520",8.2,"So so"
"RV00521",1.9,"So so"
"RV00522",2.2,"Poor"
"RV00523",6.9,"So so"
"RV00524",1.9,"Perfect"
"RV00525",8.5,"natural"
"RV00526",7.4,"Poor"
"RV00527",9.1,"Perfect"
"RV00528",8.6,"So so"
"RV00529",5,"So so"
"RV00530",6.4,"Bad"
"RV00531",5,"natural"
"RV00532",1.4,"Bad"
"RV00533",6.1,"Good"
"RV00534",6.4,"Good"
"RV00535",2.9,"Poor"
"RV00536",9.4,"Bad"
"RV00537",5.9,"Bad"
"RV00538",8.5,"So so"
"RV00539",3.3,"natural"
"RV00540",5.1,"Good"
"RV00541",4.8,"Bad"
"RV00542",7.6,"So so"
"RV00543",9,"Perfect"
"RV00544",2.6,"Good"
"RV00545",9,"natural"
"RV00546",7.2,"So so"
"RV00547",4.5,"Bad"
"RV00548",6.2,"So so"
"RV00549",5.7,"Good"
"RV00550",2.6,"So so"
"RV00551",2.5,"Perfect"
"RV00552",1.8,"Good"
"RV00553",7.3,"Good"
"RV00554",1.6,"Bad"
"RV00555",9.5,"natural"
"RV00556",6.5,"Poor"
"RV00557",3.8,"Good"
"RV00558",3.5,"So so"
"RV00559",2.1,"Poor"
"RV00560",8.9,"natural"
"RV00561",4.5,"natural"
"RV00562",4,"Poor"
"RV00563",2.3,"Good"
"RV00564",6.2,"Bad"
"RV00565",4.1,"Good"
"RV00566",4.7,"Poor"
"RV00567",8.4,"So so"
"RV00568",3.1,"Good"
"RV00569",1.5,"So so"
"RV00570",7.9,"natural"
"RV00571",5.5,"Good"
"RV00572",7,"Bad"
"RV00573",2.4,"Perfect"
"RV00574",4.1,"Good"
"RV00575",2,"Good"
"RV00576",1.5,"Perfect"
"RV00577",9.8,"Bad"
"RV00578",6.6,"Perfect"
"RV00579",2.5,"So so"
"RV00580",2.1,"Perfect"
"RV00581",3.9,"So so"
"RV00582",5,"Perfect"
"RV00583",8.4,"Perfect"
"RV00584",2.8,"Perfect"
"RV00585",5,"So so"
"RV00586",3.2,"Bad"
"RV00587",9.8,"Bad"
"RV00588",7.4,"natural"
"RV00589",9.3,"natural"
"RV00590",6.3,"natural"
"RV00591",4.4,"Perfect"
"RV00592",2,"So so"
"RV00593",2.2,"So so"
"RV00594",8,"natural"
"RV00595",1.3,"Good"
"RV00596",8.2,"Good"
"RV00597",3.8,"Perfect"
"RV00598",5.1,"Perfect"
"RV00599",6.9,"Perfect"
"RV00600",3.3,"natural"
"RV00601",3.5,"natural"
"RV00602",8.5,"Good"
"RV00603",6,"Good"
"RV00604",6.4,"natural"
"RV00605",8.7,"Poor"
"RV00606",9.1,"So so"
"RV00607",7.4,"Perfect"
"RV00608",8.9,"So so"
"RV00609",3.2,"Poor"
"RV00610",3.6,"Perfect"
"RV00611",3.8,"Good"
"RV00612",2.9,"natural"
"RV00613",5.4,"Perfect"
"RV00614",4.5,"So so"
"RV00615",1.1,"Good"
"RV00616",8.9,"Bad"
"RV00617",9.7,"So so"
"RV00618",4.7,"So so"
"RV00619",6.3,"natural"
"RV00620",2.1,"So so"
"RV00621",5.3,"Good"
"RV00622",9.9,"Good"
"RV00623",7.9,"So so"
"RV00624",5.8,"Poor"
"RV00625",1.7,"natural"
"RV00626",1.8,"So so"
"RV00627",8.3,"So so"
"RV00628",2.3,"Good"
"RV00629",2.2,"Bad"
"RV00630",8.8,"Perfect"
"RV00631",7.2,"Perfect"
"RV00632",7.7,"Perfect"
"RV00633",3.3,"Perfect"
"RV00634",2.2,"Bad"
"RV00635",5,"Good"
"RV00636",3,"Perfect"
"RV00637",2.5,"Bad"
"RV00638",4.7,"Good"
"RV00639",7,"Bad"
"RV00640",8.8,"natural"
"RV00641",3.7,"Poor"
"RV00642",7.1,"Good"
"RV00643",6.7,"Bad"
"RV00644",1.7,"Poor"
"RV00645",6.1,"Bad"
"RV00646",7,"Perfect"
"RV00647",8.4,"So so"
"RV00648",8.7,"Perfect"
"RV00649",7.8,"Bad"
"RV00650",8.2,"Perfect"
"RV00651",4.3,"Perfect"
"RV00652",5.6,"Bad"
"RV00653",1.2,"Perfect"
"RV00654",8.3,"natural"
"RV00655",2.7,"Bad"
"RV00656",8.5,"natural"
"RV00657",9.4,"Bad"
"RV00658",4.3,"Good"
"RV00659",1.5,"natural"
"RV00660",2.8,"Good"
"RV00661",2,"Perfect"
"RV00662",2.6,"Perfect"
"RV00663",4.9,"Perfect"
"RV00664",3.9,"So so"
"RV00665",1.2,"Bad"
"RV00666",5.9,"Poor"
"RV00667",2.6,"So so"
"RV00668",9.5,"natural"
"RV00669",2.8,"Poor"
"RV00670",8.1,"So so"
"RV00671",5.8,"Perfect"
"RV00672",8.4,"Poor"
"RV00673",5.7,"Good"
"RV00674",2.2,"Good"
"RV00675",2.2,"Good"
"RV00676",5.6,"Poor"
"RV00677",1.2,"So so"
"RV00678",8.3,"Perfect"
"RV00679",1.7,"Perfect"
"RV00680",7.4,"Perfect"
"RV00681",6.3,"Good"
"RV00682",2.2,"Bad"
"RV00683",3.4,"Poor"
"RV00684",5.4,"Good"
"RV00685",3.1,"natural"
"RV00686",5.5,"Good"
"RV00687",1.4,"Perfect"
"RV00688",8.2,"natural"
"RV00689",7,"Bad"
"RV00690",8.4,"So so"
"RV00691",1.9,"Poor"
"RV00692",9.1,"Good"
"RV00693",5.7,"Good"
"RV00694",6.8,"Bad"
"RV00695",8,"natural"
"RV00696",9.1,"So so"
"RV00697",9.2,"Good"
"RV00698",8.9,"Perfect"
"RV00699",1.2,"So so"
"RV00700",6.6,"So so"
"RV00701",2.8,"Bad"
"RV00702",1.1,"Perfect"
"RV00703",7.2,"natural"
"RV00704",5.7,"Bad"
"RV00705",7,"Good"
"RV00706",7,"Good"
"RV00707",1.2,"So so"
"RV00708",1.7,"Poor"
"RV00709",9.5,"Poor"
"RV00710",5.3,"So so"
"RV00711",8.6,"So so"
"RV00712",2.1,"Good"
"RV00713",9.2,"Perfect"
"RV00714",3.9,"Bad"
"RV00715",7.5,"Perfect"
"RV00716",7.3,"Bad"
"RV00717",9,"Poor"
"RV00718",3.6,"Bad"
"RV00719",1.5,"So so"
"RV00720",9.3,"Bad"
"RV00721",5,"Good"
"RV00722",2.4,"Good"
"RV00723",6.1,"Bad"
"RV00724",8.8,"Poor"
"RV00725",1.2,"Poor"
"RV00726",2.2,"Good"
"RV00727",2.7,"Perfect"
"RV00728",9.9,"Poor"
"RV00729",2.6,"Poor"
"RV00730",3.7,"Bad"
"RV00731",6,"So so"
"RV00732",5.9,"Bad"
"RV00733",9.1,"natural"
"RV00734",2.3,"Perfect"
"RV00735",4.6,"natural"
"RV00736",8.9,"So so"
"RV00737",4.8,"Poor"
"RV00738",1.4,"Perfect"
"RV00739",1.3,"natural"
"RV00740",5,"So so"
"RV00741",5.6,"Poor"
"RV00742",2.8,"Bad"
"RV00743",2,"natural"
"RV00744",2.6,"So so"
"RV00745",8.9,"Bad"
"RV00746",6.4,"Good"
"RV00747",9.1,"Perfect"
"RV00748",2.9,"Poor"
"RV00749",2.3,"So so"
"RV00750",9.5,"So so"
"RV00751",7.4,"Good"
"RV00752",5.4,"Bad"
"RV00753",5.4,"Poor"
"RV00754",5.6,"Good"
"RV00755",6.1,"Bad"
"RV00756",5.3,"Bad"
"RV00757",5.5,"So so"
"RV00758",7.7,"Poor"
"RV00759",9.4,"So so"
"RV00760",7.5,"Bad"
"RV00761",2.7,"Perfect"
"RV00762",4.7,"Bad"
"RV00763",5.5,"Perfect"
"RV00764",7.9,"Bad"
"RV00765",4.4,"Poor"
"RV00766",5.9,"So so"
"RV00767",4.5,"So so"
"RV00768",9.2,"Good"
"RV00769",1.6,"natural"
"RV00770",2.7,"Poor"
"RV00771",9.8,"Poor"
"RV00772",9.2,"So so"
"RV00773",5.7,"natural"
"RV00774",7.7,"Poor"
"RV00775",7.8,"Bad"
"RV00776",2.1,"natural"
"RV00777",8.7,"Poor"
"RV00778",4.3,"So so"
"RV00779",6,"So so"
"RV00780",9.8,"Perfect"
"RV00781",3.9,"natural"
"RV00782",1.7,"So so"
"RV00783",7.8,"Poor"
"RV00784",7.5,"Good"
"RV00785",10,"natural"
"RV00786",3.9,"Perfect"
"RV00787",3.9,"Poor"
"RV00788",4.5,"Poor"
"RV00789",3.9,"Good"
"RV00790",2.1,"So so"
"RV00791",7,"natural"
"RV00792",4.6,"So so"
"RV00793",9.6,"Good"
"RV00794",2.2,"Perfect"
"RV00795",1.6,"natural"
"RV00796",8.1,"So so"
"RV00797",2.8,"Good"
"RV00798",3.7,"natural"
"RV00799",9.3,"Poor"
"RV00800",3.6,"Good"
"RV00801",8.6,"Good"
"RV00802",5.6,"Bad"
"RV00803",2.7,"Poor"
"RV00804",6.8,"Perfect"
"RV00805",2.8,"Bad"
"RV00806",3.9,"Perfect"
"RV00807",8.4,"natural"
"RV00808",8.7,"So so"
"RV00809",3,"Good"
"RV00810",2.7,"Poor"
"RV00811",7.9,"Bad"
"RV00812",3.2,"Poor"
"RV00813",8.8,"Good"
"RV00814",6,"Perfect"
"RV00815",9.2,"Perfect"
"RV00816",7,"natural"
"RV00817",9.9,"Bad"
"RV00818",9.1,"Bad"
"RV00819",2.8,"So so"
"RV00820",8.7,"Good"
"RV00821",5.4,"Poor"
"RV00822",6.2,"Good"
"RV00823",8.2,"So so"
"RV00824",5.7,"Poor"
"RV00825",3.9,"natural"
"RV00826",9.2,"Poor"
"RV00827",4.7,"Good"
"RV00828",1,"Perfect"
"RV00829",4,"Poor"
"RV00830",2.2,"natural"
"RV00831",7.2,"Bad"
"RV00832",8.6,"Bad"
"RV00833",7.6,"Perfect"
"RV00834",5.4,"So so"
"RV00835",3.7,"natural"
"RV00836",7.4,"Poor"
"RV00837",1.3,"Bad"
"RV00838",2.2,"natural"
"RV00839",8.6,"Perfect"
"RV00840",3.6,"Poor"
"RV00841",5.2,"Bad"
"RV00842",1.4,"natural"
"RV00843",1.8,"Perfect"
"RV00844",7.3,"Bad"
"RV00845",7.7,"So so"
"RV00846",4.6,"Perfect"
"RV00847",5.3,"Poor"
"RV00848",6.4,"Bad"
"RV00849",9.2,"So so"
"RV00850",5.6,"Perfect"
"RV00851",6,"Perfect"
"RV00852",3.2,"Perfect"
"RV00853",7.7,"Perfect"
"RV00854",5.4,"Perfect"
"RV00855",5.9,"Good"
"RV00856",8.6,"So so"
"RV00857",7.9,"So so"
"RV00858",2,"Poor"
"RV00859",3,"Good"
"RV00860",5.3,"So so"
"RV00861",1.4,"Good"
"RV00862",7.7,"natural"
"RV00863",1.4,"So so"
"RV00864",8.1,"Good"
"RV00865",8.4,"natural"
"RV00866",1.4,"natural"
"RV00867",3.3,"Perfect"
"RV00868",1.9,"Good"
"RV00869",3.1,"Poor"
"RV00870",7.9,"Poor"
"RV00871",2.2,"Perfect"
"RV00872",8.4,"Good"
"RV00873",7.4,"natural"
"RV00874",7.7,"Good"
"RV00875",2.5,"Poor"
"RV00876",7.3,"Poor"
"RV00877",8,"So so"
"RV00878",4.7,"natural"
"RV00879",1.1,"Poor"
"RV00880",5.2,"Poor"
"RV00881",5,"Bad"
"RV00882",2.2,"Good"
"RV00883",1.9,"Poor"
"RV00884",1.4,"Poor"
"RV00885",7.8,"Poor"
"RV00886",4.1,"Bad"
"RV00887",7.3,"Perfect"
"RV00888",6,"natural"
"RV00889",5.3,"natural"
"RV00890",5.6,"Bad"
"RV00891",4.7,"Poor"
"RV00892",6.8,"Good"
"RV00893",1.1,"Poor"
"RV00894",2.1,"Perfect"
"RV00895",6.4,"natural"
"RV00896",8.5,"Bad"
"RV00897",4,"Poor"
"RV00898",7.2,"Bad"
"RV00899",8.6,"natural"
"RV00900",1.6,"natural"
"RV00901",1.6,"natural"
"RV00902",6.1,"So so"
