review_id,review_score,review_description,product_id,buyer_id
RV00046,4.9,natural,PR00597,BU00727
RV00047,4.6,natural,PR00981,BU00672
RV00048,4.7,Bad,PR00214,BU00828
RV00049,8.9,Bad,PR00577,BU00667
RV00050,5.7,So so,PR00887,BU00151
RV00051,2.8,natural,PR00072,BU00384
RV00052,5,Poor,PR00250,BU00521
RV00053,7,Poor,PR00378,BU00187
RV00054,9.9,Poor,PR00972,BU00774
RV00055,2.3,Perfect,PR00287,BU00548
RV00056,3.6,Perfect,PR00192,BU00093
RV00057,2.2,So so,PR00698,BU00070
RV00058,1.4,natural,PR00355,BU00030
RV00059,8,Perfect,PR00728,BU00638
RV00060,1.9,Good,PR00654,BU00290
RV00061,6.3,So so,PR00765,BU00795
RV00062,2,natural,PR00610,BU00052
RV00063,2.9,Good,PR00625,BU00251
RV00064,4.8,Good,PR00890,BU00251
RV00065,3.8,Bad,PR00532,BU00672
RV00066,2.4,natural,PR00947,BU00134
RV00067,1.6,natural,PR00434,BU00069
RV00068,7.4,Poor,PR00766,BU00967
RV00069,2.7,natural,PR00005,BU00913
RV00070,6.5,natural,PR00860,BU00366
RV00071,2.5,Bad,PR00802,BU00510
RV00072,7.5,natural,PR00825,BU00723
RV00073,4.1,natural,PR00373,BU00013
RV00074,1.8,Poor,PR00386,BU00163
RV00075,6.5,natural,PR00398,BU00163
RV00076,8.8,Perfect,PR00919,BU00595
RV00077,8.1,Poor,PR00054,BU00308
RV00078,7.2,So so,PR00336,BU00507
RV00079,1.9,Good,PR00152,BU00416
RV00080,8.9,So so,PR00727,BU00188
RV00081,5.3,Good,PR00025,BU00604
RV00082,8.1,So so,PR00958,BU00199
RV00083,1.6,Good,PR00541,BU00633
RV00084,4.7,Perfect,PR00081,BU00788
RV00085,1.4,Poor,PR00985,BU00779
RV00086,3.5,Bad,PR00878,BU00086
RV00087,9.6,Good,PR00178,BU00623
RV00088,3.3,Good,PR00457,BU00785
RV00089,2.7,natural,PR00181,BU00365
RV00090,2,Good,PR00866,BU00212
RV00091,4.7,Bad,PR00109,BU00151
RV00092,6.4,So so,PR00152,BU00744
RV00093,1.3,Bad,PR00012,BU00194
RV00094,5.1,Perfect,PR00890,BU00137
RV00095,8.1,Perfect,PR00899,BU00689
RV00096,2,Bad,PR00658,BU00762
RV00097,3.5,Good,PR00856,BU00346
RV00098,7.3,Bad,PR00184,BU00189
RV00099,5.5,Bad,PR00811,BU00667
RV00100,5.8,Bad,PR00489,BU00851
RV00101,7.8,Bad,PR00896,BU00784
RV00102,1.5,Poor,PR00573,BU00250
RV00103,8.8,Poor,PR00110,BU00012
RV00104,9.4,natural,PR00227,BU00891
RV00105,2.3,natural,PR00131,BU00261
RV00106,6.1,Perfect,PR00069,BU00800
RV00107,7.3,Bad,PR00812,BU00873
RV00108,9.5,Perfect,PR00913,BU00334
RV00109,1.9,Good,PR00148,BU00338
RV00110,2.8,Bad,PR00857,BU00305
RV00111,1.4,natural,PR00997,BU00027
RV00112,4.3,Perfect,PR00960,BU00279
RV00113,1,So so,PR00707,BU00556
RV00114,5.1,Bad,PR00155,BU00756
RV00115,8.9,Good,PR00139,BU00630
RV00116,3.6,Good,PR00650,BU00672
RV00117,4.1,Good,PR00628,BU00162
RV00118,5.4,Bad,PR00038,BU00059
RV00119,1.9,natural,PR00787,BU00634
RV00120,3.7,Bad,PR00974,BU00397
RV00121,8,So so,PR00025,BU00043
RV00122,6.8,Bad,PR00280,BU00269
RV00123,9.1,Bad,PR00311,BU00435
RV00124,8.3,So so,PR00933,BU00768
RV00125,2.6,Good,PR00432,BU00940
RV00126,9.7,Poor,PR00443,BU00140
RV00127,4.2,Good,PR00381,BU00025
RV00128,2.1,Good,PR00738,BU00435
RV00129,3.4,Good,PR00956,BU00335
RV00130,5.6,Good,PR00950,BU00275
RV00131,7.2,Bad,PR00278,BU00226
RV00132,4.7,Poor,PR00245,BU00083
RV00133,4.2,natural,PR00201,BU00874
RV00134,7.9,Good,PR00620,BU00235
RV00135,7.9,Poor,PR00168,BU00367
RV00136,7.6,Bad,PR00829,BU00334
RV00137,5.7,natural,PR00316,BU00596
RV00138,7,Perfect,PR00216,BU00336
RV00139,7.9,natural,PR00961,BU00113
RV00140,5.8,Poor,PR00417,BU00208
RV00141,2.5,So so,PR00218,BU00732
RV00142,7.9,Good,PR00868,BU00489
RV00143,4.7,Bad,PR00446,BU00025
RV00144,9,Good,PR00743,BU00083
RV00145,4.6,Good,PR00706,BU00357
RV00146,6.3,natural,PR00859,BU00371
RV00147,6,Poor,PR00986,BU00826
RV00148,1.8,So so,PR00058,BU00604
RV00149,5.4,Poor,PR00932,BU00684
RV00150,4.3,Bad,PR00129,BU00420
RV00151,7.3,Poor,PR00160,BU00267
RV00152,8.9,natural,PR00371,BU00142
RV00153,7.9,Bad,PR00438,BU00404
RV00154,6,Poor,PR00058,BU00630
RV00155,7.7,Poor,PR00405,BU00976
RV00156,1.7,Perfect,PR00041,BU00475
RV00157,2.5,Poor,PR00779,BU00048
RV00158,9.5,Good,PR00519,BU00876
RV00159,1.8,Perfect,PR00878,BU00642
RV00160,1.3,Bad,PR00986,BU00072
RV00161,3.6,Poor,PR00540,BU00983
RV00162,6.5,Bad,PR00930,BU00581
RV00163,7.3,Poor,PR00479,BU00416
RV00164,2,natural,PR00013,BU00999
RV00165,2.2,Perfect,PR00444,BU00340
RV00166,3.6,Perfect,PR00057,BU00818
RV00167,7.7,Bad,PR00214,BU00479
RV00168,7.9,Bad,PR00837,BU00735
RV00169,6.9,natural,PR00109,BU00839
RV00170,2.2,Bad,PR00627,BU00601
RV00171,4.3,Poor,PR00851,BU00292
RV00172,6.8,Good,PR00150,BU00391
RV00173,3.9,Perfect,PR00925,BU00237
RV00174,3.6,Bad,PR00353,BU00966
RV00175,4,Bad,PR00133,BU00188
RV00176,8.2,So so,PR00688,BU00652
RV00177,7.1,Poor,PR00497,BU00836
RV00178,1.1,Perfect,PR00884,BU00649
RV00179,6.1,Good,PR00650,BU00586
RV00180,9.4,So so,PR00645,BU00521
RV00181,5.8,natural,PR00035,BU00350
RV00182,5.6,natural,PR00298,BU00598
RV00183,1.6,natural,PR00822,BU00314
RV00184,9.9,Good,PR00921,BU00370
RV00185,9.5,Good,PR00107,BU00159
RV00186,6.2,So so,PR00179,BU00318
RV00187,9.2,Perfect,PR00374,BU00222
RV00188,4.5,So so,PR00629,BU00058
RV00189,4,natural,PR00229,BU00927
RV00190,7.1,Perfect,PR00056,BU00026
RV00191,4.4,Poor,PR00085,BU00524
RV00192,9.6,Good,PR00029,BU00939
RV00193,3.2,So so,PR00775,BU00359
RV00194,2.9,natural,PR00924,BU00940
RV00195,6.2,Perfect,PR00586,BU00054
RV00196,8.2,Bad,PR00516,BU00357
RV00197,4.9,natural,PR00875,BU00859
RV00198,5.6,Poor,PR00866,BU00549
RV00199,1.8,Poor,PR00434,BU00983
RV00200,1.6,Perfect,PR00616,BU00839
RV00201,5.9,Perfect,PR00021,BU00738
RV00202,6.9,Poor,PR00334,BU00636
RV00203,8.8,Bad,PR00765,BU00297
RV00204,5.7,natural,PR00982,BU00581
RV00205,7.5,Good,PR00345,BU00638
RV00206,8.3,Bad,PR00461,BU00899
RV00207,5.4,Good,PR00332,BU00801
RV00208,8.8,Bad,PR00228,BU00959
RV00209,2.7,Poor,PR00650,BU00835
RV00210,7.1,Good,PR00906,BU00493
RV00211,7.1,Good,PR00864,BU00222
RV00212,9.3,Perfect,PR00067,BU00753
RV00213,6.5,Bad,PR00572,BU00118
RV00214,3.8,natural,PR00129,BU00489
RV00215,2.6,Perfect,PR00275,BU00490
RV00216,9.6,Poor,PR00641,BU00479
RV00217,5.9,natural,PR00469,BU00013
RV00218,2.7,Perfect,PR00633,BU00252
RV00219,3,Perfect,PR00402,BU00180
RV00220,7,Perfect,PR00094,BU00736
RV00221,6.5,Bad,PR00928,BU00238
RV00222,7.2,So so,PR00706,BU00974
RV00223,5.6,Perfect,PR00654,BU00632
RV00224,1.8,natural,PR00428,BU00745
RV00225,5.5,So so,PR00122,BU00394
RV00226,6.5,Bad,PR00404,BU00197
RV00227,3.8,Bad,PR00138,BU00268
RV00228,6.5,natural,PR00419,BU00342
RV00229,2.7,natural,PR00573,BU00057
RV00230,2.7,So so,PR00035,BU00929
RV00231,5.6,So so,PR00583,BU00189
RV00232,7.5,natural,PR00922,BU00492
RV00233,6.3,Good,PR00292,BU00662
RV00234,9.6,Bad,PR00220,BU00128
RV00235,6.9,Poor,PR00669,BU00213
RV00236,5.2,Poor,PR00186,BU00069
RV00237,6,Bad,PR00645,BU00752
RV00238,5.9,Poor,PR00665,BU00666
RV00239,1.1,Bad,PR00147,BU00157
RV00240,2.1,natural,PR00906,BU00008
RV00241,5.8,Good,PR00783,BU00474
RV00242,9,Perfect,PR00145,BU00597
RV00243,1.3,natural,PR00499,BU00276
RV00244,1.5,Poor,PR00610,BU00155
RV00245,2.1,Perfect,PR00913,BU00449
RV00246,9.2,natural,PR00850,BU00487
RV00247,6.3,natural,PR00748,BU00495
RV00248,2.5,So so,PR00646,BU00087
RV00249,9.2,Bad,PR00223,BU00492
RV00250,9.1,Good,PR00160,BU00806
RV00251,8.7,So so,PR00402,BU00254
RV00252,1.7,Poor,PR00463,BU00952
RV00253,4.5,natural,PR00790,BU00012
RV00254,4.3,Bad,PR00111,BU00895
RV00255,6.5,Perfect,PR00501,BU00530
RV00256,5.3,Bad,PR00094,BU00873
RV00257,6.3,Poor,PR00407,BU00276
RV00258,1.5,Bad,PR00322,BU00831
RV00259,6.2,Bad,PR00140,BU00897
RV00260,6.9,Perfect,PR00775,BU00826
RV00261,2,natural,PR00816,BU00178
RV00262,4.2,Bad,PR00899,BU00561
RV00263,4.2,Bad,PR00865,BU00266
RV00264,5.6,Poor,PR00379,BU00935
RV00265,7.5,natural,PR00524,BU00563
RV00266,6.9,So so,PR00883,BU00088
RV00267,4.3,So so,PR00870,BU00292
RV00268,7.8,Bad,PR00949,BU00061
RV00269,9,Good,PR00998,BU00660
RV00270,5.9,Perfect,PR00156,BU00073
RV00271,5.7,Bad,PR00951,BU00309
RV00272,8.5,Bad,PR00918,BU00179
RV00273,2.7,Perfect,PR00766,BU00669
RV00274,3.2,So so,PR00295,BU00190
RV00275,7.3,Perfect,PR00782,BU00050
RV00276,8.6,Perfect,PR00768,BU00490
RV00277,9.8,So so,PR00643,BU00100
RV00278,1.6,Good,PR00801,BU00754
RV00279,5,Good,PR00200,BU00329
RV00280,1.7,Bad,PR00752,BU00441
RV00281,5.8,Bad,PR00099,BU00024
RV00282,8.6,So so,PR00250,BU00611
RV00283,5.7,Bad,PR00800,BU00349
RV00284,3.6,Perfect,PR00022,BU00817
RV00285,1.7,Good,PR00547,BU01000
RV00286,3.8,Bad,PR00424,BU00091
RV00287,6.4,Poor,PR00376,BU00261
RV00288,2.3,Poor,PR00954,BU00852
RV00289,4.1,Perfect,PR00160,BU00090
RV00290,8.2,natural,PR00161,BU00818
RV00291,3.6,Good,PR00408,BU00153
RV00292,5,Perfect,PR00723,BU00873
RV00293,7.3,Bad,PR00684,BU00007
RV00294,6.5,Bad,PR00726,BU00549
RV00295,7.4,So so,PR00058,BU00684
RV00296,7.2,Perfect,PR00208,BU00337
RV00297,8.3,So so,PR00578,BU00177
RV00298,3.6,So so,PR00761,BU00784
RV00299,4.7,Bad,PR00922,BU00173
RV00300,6.7,Good,PR00130,BU00250
RV00301,9.4,Perfect,PR00766,BU00191
RV00302,8.1,natural,PR00494,BU00814
RV00303,1.9,Good,PR00072,BU00072
RV00304,4.2,natural,PR00900,BU00835
RV00305,9.2,Poor,PR00180,BU00897
RV00306,7.2,Good,PR00708,BU00028
RV00307,3.5,Good,PR00765,BU00392
RV00308,3.7,natural,PR00060,BU00066
RV00309,5.9,Good,PR00301,BU00179
RV00310,8.5,So so,PR00139,BU00746
RV00311,6.4,Perfect,PR00570,BU00853
RV00312,4.9,So so,PR00326,BU00084
RV00313,3,Bad,PR00875,BU00266
RV00314,6.5,Perfect,PR00379,BU00615
RV00315,2.7,natural,PR00567,BU00208
RV00316,7.2,So so,PR00205,BU00811
RV00317,2,Poor,PR00040,BU00293
RV00318,3.2,natural,PR00086,BU00578
RV00319,6.3,Good,PR00673,BU00472
RV00320,7,natural,PR00863,BU00090
RV00321,4.1,So so,PR00186,BU00710
RV00322,9,Perfect,PR00245,BU00755
RV00323,6.5,So so,PR00161,BU00526
RV00324,7.6,Poor,PR00430,BU00503
RV00325,5.5,Bad,PR00921,BU00046
RV00326,1.3,Poor,PR00555,BU00146
RV00327,3.8,Bad,PR00888,BU00899
RV00328,5.3,Good,PR00200,BU00595
RV00329,3,natural,PR00715,BU00479
RV00330,5.6,So so,PR00495,BU00918
RV00331,8.4,Bad,PR00784,BU00354
RV00332,1.2,Good,PR00269,BU00633
RV00333,6.6,So so,PR00912,BU00659
RV00334,9.2,Good,PR00507,BU00187
RV00335,9.7,So so,PR00736,BU00270
RV00336,2.5,Good,PR00968,BU00170
RV00337,9.8,Perfect,PR00014,BU00214
RV00338,6.4,Poor,PR00818,BU00636
RV00339,5,natural,PR00046,BU00725
RV00340,5.5,Poor,PR00102,BU00617
RV00341,8.4,Bad,PR00367,BU00437
RV00342,8.1,So so,PR00803,BU00990
RV00343,8.4,Perfect,PR00281,BU00603
RV00344,4.6,So so,PR00391,BU00771
RV00345,9.7,Bad,PR00642,BU00685
RV00346,3.4,Good,PR00508,BU00386
RV00347,9.9,Bad,PR00502,BU00011
RV00348,2.9,Bad,PR00725,BU00721
RV00349,9.3,Bad,PR00777,BU00175
RV00350,3.4,Bad,PR00850,BU00924
RV00351,4.8,Poor,PR00493,BU00792
RV00352,7.3,natural,PR00773,BU00848
RV00353,9.9,Bad,PR00398,BU00942
RV00354,4.4,Bad,PR00292,BU00221
RV00355,2.6,natural,PR00870,BU00944
RV00356,1,Bad,PR00291,BU00698
RV00357,7.8,So so,PR00049,BU00934
RV00358,5.2,natural,PR00281,BU00655
RV00359,10,natural,PR00657,BU00296
RV00360,6.3,Perfect,PR00947,BU00363
RV00361,6.7,Bad,PR00987,BU00385
RV00362,4,natural,PR00549,BU00061
RV00363,1.8,Poor,PR00225,BU00909
RV00364,1.3,Poor,PR00847,BU00591
RV00365,5.1,Perfect,PR00683,BU00848
RV00366,8.1,Poor,PR00442,BU00052
RV00367,7.7,natural,PR00250,BU00241
RV00368,3.3,Bad,PR00012,BU00319
RV00369,2.6,Poor,PR00623,BU00522
RV00370,7.2,Bad,PR00827,BU00805
RV00371,6.4,Poor,PR00738,BU00331
RV00372,10,Bad,PR00929,BU00438
RV00373,6.5,Perfect,PR00493,BU00818
RV00374,1.3,So so,PR00729,BU00102
RV00375,8.5,natural,PR00984,BU00858
RV00376,2.3,natural,PR00979,BU00633
RV00377,7.8,Good,PR00323,BU00388
RV00378,8.9,Poor,PR00821,BU00667
RV00379,2.8,Perfect,PR00762,BU00219
RV00380,3.2,Poor,PR00957,BU00847
RV00381,3,Perfect,PR00723,BU00239
RV00382,6.5,Perfect,PR00055,BU00335
RV00383,7.4,Bad,PR00960,BU00456
RV00384,8.4,Bad,PR00145,BU00468
RV00385,2.5,Perfect,PR00895,BU00911
RV00386,6.8,So so,PR00220,BU00401
RV00387,3.9,Poor,PR00345,BU00175
RV00388,6.8,Poor,PR00376,BU00663
RV00389,2.8,Poor,PR00723,BU00120
RV00390,8.8,natural,PR00993,BU00577
RV00391,9.5,Poor,PR00121,BU00373
RV00392,9.4,natural,PR00319,BU00351
RV00393,1.3,Bad,PR00878,BU00710
RV00394,1.3,So so,PR00078,BU00331
RV00395,3.1,Good,PR00487,BU00457
RV00396,4.3,natural,PR00794,BU00201
RV00397,2.8,Good,PR00526,BU00248
RV00398,1.6,natural,PR00362,BU00045
RV00399,1.4,Poor,PR00444,BU00588
RV00400,4.8,natural,PR00231,BU00702
RV00401,4.7,So so,PR00933,BU00084
RV00402,6.2,Bad,PR00634,BU00332
RV00403,3.3,So so,PR00691,BU00882
RV00404,1,Bad,PR00568,BU00768
RV00405,3.8,So so,PR00989,BU00258
RV00406,1.4,natural,PR00306,BU00069
RV00407,5.8,Perfect,PR00566,BU00946
RV00408,3.6,Bad,PR00730,BU00592
RV00409,7.1,Poor,PR00436,BU00196
RV00410,4.3,Poor,PR00724,BU00183
RV00411,3.2,Good,PR00645,BU00666
RV00412,6.7,Bad,PR00574,BU00439
RV00413,4.7,Perfect,PR00350,BU00743
RV00414,6.3,Good,PR00151,BU00991
RV00415,4.2,Poor,PR00782,BU00182
RV00416,1.7,Perfect,PR00615,BU00851
RV00417,5.8,Good,PR00290,BU00709
RV00418,4.3,natural,PR00204,BU00954
RV00419,6.9,Poor,PR00090,BU00491
RV00420,3.8,natural,PR00121,BU00330
RV00421,2.8,Poor,PR00345,BU00786
RV00422,3.4,So so,PR00560,BU00014
RV00423,6.5,Bad,PR00610,BU00181
RV00424,3.3,So so,PR00193,BU00861
RV00425,5,Perfect,PR00196,BU00366
RV00426,2.2,So so,PR00047,BU00325
RV00427,6.9,Good,PR00185,BU00386
RV00428,8.4,natural,PR00246,BU00814
RV00429,4,So so,PR00263,BU00539
RV00430,2.4,natural,PR00795,BU00038
RV00431,5.3,natural,PR00358,BU00175
RV00432,5.8,Bad,PR00927,BU00633
RV00433,7.3,natural,PR00891,BU00290
RV00434,5.8,Good,PR00017,BU00013
RV00435,7.3,Bad,PR00957,BU00224
RV00436,4.1,Bad,PR00855,BU00424
RV00437,3.4,natural,PR00565,BU00729
RV00438,9.5,So so,PR00093,BU00767
RV00439,1.4,Good,PR00398,BU00814
RV00440,8.5,Poor,PR00750,BU00026
RV00441,7.5,Good,PR00115,BU00979
RV00442,1.4,So so,PR00082,BU00696
RV00443,1.5,So so,PR00626,BU00909
RV00444,3.6,Bad,PR00430,BU00400
RV00445,5.7,Good,PR00935,BU00222
RV00446,8.3,So so,PR00471,BU00636
RV00447,7.9,Poor,PR00067,BU00297
RV00448,4.4,Perfect,PR00908,BU00187
RV00449,9.4,So so,PR00294,BU00281
RV00450,8,So so,PR00980,BU00125
RV00451,7.5,Good,PR00888,BU00570
RV00452,5.4,Bad,PR00281,BU00121
RV00453,8.5,Bad,PR00922,BU00021
RV00454,4,So so,PR00470,BU00313
RV00455,4.1,Poor,PR00408,BU00014
RV00456,3.6,Bad,PR00426,BU00576
RV00457,3.9,Bad,PR00215,BU00824
RV00458,1.8,natural,PR00597,BU00299
RV00459,9.5,Perfect,PR00469,BU00319
RV00460,4.8,Bad,PR00558,BU00872
RV00461,9.7,Perfect,PR00515,BU00327
RV00462,9.6,Poor,PR00637,BU00853
RV00463,8.7,So so,PR00182,BU00385
RV00464,6.7,Good,PR00542,BU00170
RV00465,8.2,natural,PR00175,BU00676
RV00466,1.1,natural,PR00060,BU00889
RV00467,2.5,Poor,PR00515,BU00406
RV00468,2.8,Good,PR00510,BU00686
RV00469,8.1,natural,PR00305,BU00542
RV00470,6.7,natural,PR00778,BU00742
RV00471,1.9,Perfect,PR00835,BU00837
RV00472,6.5,Good,PR00707,BU00685
RV00473,5.4,Poor,PR00371,BU00232
RV00474,8.5,natural,PR00716,BU00314
RV00475,8.1,Good,PR00633,BU00818
RV00476,1.9,So so,PR00694,BU00232
RV00477,6.9,Perfect,PR00111,BU00351
RV00478,3.7,natural,PR00260,BU00410
RV00479,5.7,So so,PR00383,BU00111
RV00480,9.5,natural,PR00007,BU00927
RV00481,9.5,Bad,PR00537,BU00571
RV00482,3.5,Good,PR00403,BU00122
RV00483,4.3,Poor,PR00654,BU00653
RV00484,9.5,natural,PR00121,BU00958
RV00485,3.1,Poor,PR00181,BU00245
RV00486,4.2,Perfect,PR00914,BU00970
RV00487,1.3,Good,PR00382,BU00345
RV00488,8.8,natural,PR00088,BU00604
RV00489,4.1,Perfect,PR00066,BU00811
RV00490,7.4,Bad,PR00665,BU00596
RV00491,7.5,Poor,PR00431,BU00834
RV00492,7.7,Bad,PR00558,BU00981
RV00493,7.5,natural,PR00371,BU00130
RV00494,1.2,Bad,PR00300,BU00223
RV00495,8.5,Perfect,PR00442,BU00615
RV00496,7.8,natural,PR00949,BU00217
RV00497,7.5,Perfect,PR00141,BU00192
RV00498,9.7,natural,PR00837,BU00736
RV00499,1.7,So so,PR00237,BU00966
RV00500,4.7,Bad,PR00456,BU00430
RV00501,5.6,So so,PR00913,BU00892
RV00502,1,Bad,PR00390,BU00225
RV00503,10,natural,PR00969,BU00884
RV00504,9,Poor,PR00189,BU00856
RV00505,4.3,So so,PR00616,BU00904
RV00506,4.2,Perfect,PR00147,BU00040
RV00507,7.3,Perfect,PR00583,BU00421
RV00508,5.2,Bad,PR00231,BU00226
RV00509,5.5,Bad,PR00657,BU00050
RV00510,6.7,Perfect,PR00946,BU00942
RV00511,6.2,So so,PR00074,BU00548
RV00512,7.8,Bad,PR00563,BU00015
RV00513,4.5,Perfect,PR00655,BU00910
RV00514,8.4,Perfect,PR00249,BU00728
RV00515,2.9,natural,PR00524,BU00957
RV00516,6.4,Bad,PR00866,BU00516
RV00517,3.1,Bad,PR00921,BU00877
RV00518,3.7,Perfect,PR00126,BU00776
RV00519,9.9,natural,PR00849,BU00018
RV00520,8.2,So so,PR00936,BU00763
RV00521,1.9,So so,PR00379,BU00268
RV00522,2.2,Poor,PR00852,BU00333
RV00523,6.9,So so,PR00759,BU00435
RV00524,1.9,Perfect,PR00059,BU00232
RV00525,8.5,natural,PR00317,BU00612
RV00526,7.4,Poor,PR00108,BU00004
RV00527,9.1,Perfect,PR00442,BU00030
RV00528,8.6,So so,PR00995,BU00876
RV00529,5,So so,PR00034,BU00712
RV00530,6.4,Bad,PR00343,BU00811
RV00531,5,natural,PR00108,BU00461
RV00532,1.4,Bad,PR00392,BU00510
RV00533,6.1,Good,PR00192,BU00654
RV00534,6.4,Good,PR00763,BU00418
RV00535,2.9,Poor,PR00630,BU00631
RV00536,9.4,Bad,PR00305,BU00775
RV00537,5.9,Bad,PR00423,BU00479
RV00538,8.5,So so,PR00586,BU00583
RV00539,3.3,natural,PR00164,BU00003
RV00540,5.1,Good,PR00240,BU00916
RV00541,4.8,Bad,PR00556,BU00847
RV00542,7.6,So so,PR00663,BU00682
RV00543,9,Perfect,PR00825,BU00016
RV00544,2.6,Good,PR00563,BU00365
RV00545,9,natural,PR00615,BU00659
RV00546,7.2,So so,PR00276,BU00170
RV00547,4.5,Bad,PR00200,BU00326
RV00548,6.2,So so,PR00394,BU00737
RV00549,5.7,Good,PR00633,BU00261
RV00550,2.6,So so,PR00967,BU00218
RV00551,2.5,Perfect,PR00712,BU00681
RV00552,1.8,Good,PR00142,BU00126
RV00553,7.3,Good,PR00176,BU00555
RV00554,1.6,Bad,PR00540,BU00327
RV00555,9.5,natural,PR00648,BU00772
RV00556,6.5,Poor,PR00616,BU00775
RV00557,3.8,Good,PR00404,BU00071
RV00558,3.5,So so,PR00952,BU00638
RV00559,2.1,Poor,PR00949,BU00565
RV00560,8.9,natural,PR00286,BU00054
RV00561,4.5,natural,PR00438,BU00807
RV00562,4,Poor,PR00673,BU00843
RV00563,2.3,Good,PR00699,BU00249
RV00564,6.2,Bad,PR00614,BU00394
RV00565,4.1,Good,PR00781,BU00436
RV00566,4.7,Poor,PR00245,BU00008
RV00567,8.4,So so,PR00634,BU00123
RV00568,3.1,Good,PR00536,BU00298
RV00569,1.5,So so,PR00545,BU00304
RV00570,7.9,natural,PR00178,BU00413
RV00571,5.5,Good,PR00865,BU00447
RV00572,7,Bad,PR00137,BU00770
RV00573,2.4,Perfect,PR00283,BU00492
RV00574,4.1,Good,PR00031,BU00489
RV00575,2,Good,PR00471,BU00535
RV00576,1.5,Perfect,PR00243,BU00587
RV00577,9.8,Bad,PR00292,BU00104
RV00578,6.6,Perfect,PR00523,BU00239
RV00579,2.5,So so,PR00550,BU00140
RV00580,2.1,Perfect,PR00185,BU00587
RV00581,3.9,So so,PR00352,BU00841
RV00582,5,Perfect,PR00764,BU00131
RV00583,8.4,Perfect,PR00829,BU00481
RV00584,2.8,Perfect,PR00271,BU00808
RV00585,5,So so,PR00008,BU00899
RV00586,3.2,Bad,PR00262,BU00274
RV00587,9.8,Bad,PR00954,BU00110
RV00588,7.4,natural,PR00537,BU00636
RV00589,9.3,natural,PR00671,BU00169
RV00590,6.3,natural,PR00184,BU00862
RV00591,4.4,Perfect,PR00133,BU00172
RV00592,2,So so,PR00231,BU00310
RV00593,2.2,So so,PR00980,BU00759
RV00594,8,natural,PR00451,BU00276
RV00595,1.3,Good,PR00883,BU00523
RV00596,8.2,Good,PR00084,BU00050
RV00597,3.8,Perfect,PR00141,BU00873
RV00598,5.1,Perfect,PR00664,BU00948
RV00599,6.9,Perfect,PR00288,BU00590
RV00600,3.3,natural,PR00838,BU00808
RV00601,3.5,natural,PR00182,BU00167
RV00602,8.5,Good,PR00498,BU00064
RV00603,6,Good,PR00263,BU00828
RV00604,6.4,natural,PR00685,BU00141
RV00605,8.7,Poor,PR00362,BU00811
RV00606,9.1,So so,PR00175,BU00469
RV00607,7.4,Perfect,PR00064,BU00117
RV00608,8.9,So so,PR00256,BU00965
RV00609,3.2,Poor,PR00306,BU00589
RV00610,3.6,Perfect,PR00871,BU00657
RV00611,3.8,Good,PR00445,BU00475
RV00612,2.9,natural,PR00517,BU00065
RV00613,5.4,Perfect,PR00773,BU00580
RV00614,4.5,So so,PR00395,BU00592
RV00615,1.1,Good,PR00641,BU00996
RV00616,8.9,Bad,PR00511,BU00005
RV00617,9.7,So so,PR00354,BU00106
RV00618,4.7,So so,PR00318,BU00186
RV00619,6.3,natural,PR00605,BU00046
RV00620,2.1,So so,PR00139,BU00788
RV00621,5.3,Good,PR00822,BU00925
