"address_id","house_number","house_name","street","city","county","post_code","Address_ID"
6154626959,1258,"Waterfront","Alverstone Street","Carlisle","City of London","FY1 3AA","AD00065"
3031105850,406,"Bathurst Buildings","Park Avenue Road","Rochdale","Devon","HU1 2AA","AD00066"
2738032168,1132,"Waterdale","Elgin Avenue","Birmingham","Nottinghamshire","YO1 2AA","AD00067"
3137040515,371,"Rochdale Exchange","Lauderdale Road","Wolverhampton","Lincolnshire","FY1 1AA","AD00068"
6318137017,1041,"Hampton","Parsons Green Lane","Sheffield","Greater London","LS1 3AA","AD00069"
9104083458,147,"The Exchange","Marylebone High Street","Middlesbrough","Greater Manchester","TS1 2AA","AD00070"
1171261543,50,"Transporter Bridge Apartments","Weltjie Road","Salisbury","Cornwall","WF1 3AA","AD00071"
8441238464,253,"Capability Green","Notting Hill Gate","Bolton","Leicestershire","IP1 1AA","AD00072"
507955641,920,"The Grafton","The Boltons","Plymouth","Suffolk","IP1 3AA","AD00073"
377055085,1155,"Cathedral Quarter","Barnsbury Road","Sunderland","North Yorkshire","OX1 3AA","AD00074"
9687133783,1319,"The Grafton","Wimbledon Park Road","Peterborough","Cumbria","LS1 1AA","AD00075"
4600789261,1416,"Friar Street","Marylebone High Street","Sunderland","North Yorkshire","BS1 1AA","AD00076"
1348636521,548,"The Waterfront","Weltjie Road","Cambridge","Rutland","LU1 3AA","AD00077"
5500360906,944,"Cathedral Quarter","Margravine Road","Gloucester","Hampshire","GL1 3AA","AD00078"
6801029983,324,"The iQ Wolverhampton","Addison Road","Oxford","Cornwall","WF1 2AA","AD00079"
1718589611,754,"The Bottle Yard Studios","Bramerton Street","Coventry","Greater Manchester","ST1 2AA","AD00080"
4498436237,1483,"The Norwich Lanes","Addison Road","Carlisle","Derbyshire","CB1 3AA","AD00081"
5257869705,578,"The Waterfront","Wilton Road","Leicester","Cambridgeshire","BH1 1AA","AD00082"
7746897282,260,"Linthorpe Road","Thornhill Road","Swindon","Hertfordshire","BS1 3AA","AD00083"
2889764648,345,"The Buttermarket","Parsons Green Lane","Bradford","Warwickshire","S1 1AA","AD00084"
8167843629,789,"Castlegate","Sutherland Avenue","Wolverhampton","Shropshire","CR1 1AA","AD00085"
6056863689,1251,"Bede House","Fitzroy Square","Middlesbrough","Suffolk","EX1 1AA","AD00086"
2145873546,598,"The Randolph","Sutherland Avenue","Oxford","Norfolk","SR1 1AA","AD00087"
7116557792,747,"The Unity Building","Highbury Fields","Sunderland","East Sussex","HU1 3AA","AD00088"
6268159195,831,"Regent Street","Sutherland Avenue","Ipswich","Rutland","BS1 1AA","AD00089"
893779792,864,"Lakeside Village","Wimbledon Park Road","Birmingham","Worcestershire","NR1 1AA","AD00090"
3626331628,131,"The Quays","Thornhill Road","Doncaster","Suffolk","NE1 3AA","AD00091"
6684130357,747,"High Street","The Crescent","Southampton","Cornwall","BN1 3AA","AD00092"
3300418038,662,"The Sands","Church Street","Manchester","Norfolk","BN1 2AA","AD00093"
5404416629,267,"The Big One Apartments","Chipping Norton Street","Swindon","Wiltshire","SR1 3AA","AD00094"
6586917107,1387,"The Norwich Lanes","Lyttelton Road","Portsmouth","Cheshire","WD1 1AA","AD00095"
5338366185,82,"The Waterfront","Bloomsbury Square","Portsmouth","Herefordshire","FY1 3AA","AD00096"
584250657,24,"The Centre MK","Wimbledon Park Road","Bournemouth","Nottinghamshire","NR1 3AA","AD00097"
1252251327,1253,"The Harlequin","Askew Road","Watford","Bristol","CA1 1AA","AD00098"
1013842170,780,"Moda Living","Chipping Norton Street","Coventry","Nottinghamshire","BH1 3AA","AD00099"
7846380672,829,"The Close","Parsons Green Lane","Luton","Lancashire","IP1 3AA","AD00100"
1608877892,1255,"Spinningfields Tower","Gillespie Road","Sheffield","Warwickshire","CB1 2AA","AD00101"
7797725136,1177,"The Butts","Wilton Road","Salisbury","Cumbria","WD1 1AA","AD00102"
6661517190,918,"Humber Street","The Boltons","Blackburn","East Riding of Yorkshire","WF1 3AA","AD00103"
2133426183,792,"Southgate","Lauderdale Road","Nottingham","Bristol","PL1 1AA","AD00104"
6463901741,1114,"Xscape MK","Kensington Palace Gardens","Bradford","Cambridgeshire","FY1 1AA","AD00105"
7409408928,1488,"Cathedral Square","Notting Hill Gate","Wolverhampton","Nottinghamshire","EX1 2AA","AD00106"
8099196368,925,"Bathurst Buildings","Chipping Norton Street","Sunderland","Durham","SO1 1AA","AD00107"
3378775963,521,"The Lansdowne","Chipping Norton Street","Lincoln","Cornwall","NG1 1AA","AD00108"
8476327897,204,"Lace Market Wohnungen","Park Avenue Road","Birmingham","Worcestershire","LU1 2AA","AD00109"
4102897526,265,"High Street","Barnsbury Road","Leeds","Northamptonshire","S1 3AA","AD00110"
6399473276,415,"The Rufus Centre","Wimbledon Park Road","Newcastle upon Tyne","Somerset","BS1 1AA","AD00111"
2282257669,466,"Bathurst Buildings","Kensington Palace Gardens","Bradford","Surrey","NR1 2AA","AD00112"
9297773036,198,"The iQ Wolverhampton","Notting Hill Gate","Rochdale","West Sussex","OL1 2AA","AD00113"
3471963782,1020,"Brindleyplace","The Boltons","Bolton","Merseyside","MK1 1AA","AD00114"
9180371132,136,"The iQ Wolverhampton","Thornhill Road","Leicester","Durham","OX1 2AA","AD00115"
131527800,1367,"The Potteries Shopping Centre","Fitzroy Square","Southampton","Merseyside","SP1 3AA","AD00116"
1646031261,1208,"Christchurch Park Ipswich","Randolph Crescent","Manchester","Hampshire","PL1 2AA","AD00117"
8382514138,443,"Ropewalks","Church Street","Reading","Cumbria","SP1 2AA","AD00118"
8993607680,447,"City Park","Parsons Green Lane","Manchester","Bedfordshire","FY1 2AA","AD00119"
9794734004,823,"The Buttermarket","Bloomsbury Square","Exeter","West Sussex","HU1 3AA","AD00120"
47567759,960,"Bathurst Buildings","Chipping Norton Street","Bradford","Leicestershire","LE1 3AA","AD00121"
9145916063,220,"The Malago Estate","Canonbury Grove","Doncaster","Greater London","FY1 1AA","AD00122"
5855038920,661,"Regent Street","Thornhill Road","Bournemouth","Warwickshire","SR1 2AA","AD00123"
8788715353,1327,"The Lace House","Church Street","Blackpool","Worcestershire","NE1 3AA","AD00124"
4270640871,1133,"Brindleyplace","Gillespie Road","Stoke-on-Trent","Merseyside","SO1 3AA","AD00125"
1457684055,497,"The General Hospital Quarter","Church Street","Carlisle","Surrey","MK1 2AA","AD00126"
5083019507,515,"Church Wharf","Gillespie Road","Luton","Cornwall","SO1 3AA","AD00127"
6589377545,247,"Rochdale Exchange","Church Street","Derby","Suffolk","BL1 1AA","AD00128"
1798777665,1,"The Centre MK","Fitzroy Square","Sunderland","Berkshire","DY1 2AA","AD00129"
5162634735,601,"The Malago Estate","Lauderdale Road","Doncaster","Cheshire","BD1 2AA","AD00130"
3031537092,432,"The Landmark","Wilton Road","Chester","West Midlands","EX1 3AA","AD00131"
1033063460,603,"The Vines","Thornhill Road","Cambridge","Devon","EX1 1AA","AD00132"
3620283931,983,"The Promenade Apartments","Marylebone High Street","York","North Yorkshire","SN1 3AA","AD00133"
5836194823,242,"Gunwharf Quays","Wimbledon Park Road","Kingston upon Hull","Merseyside","BN1 2AA","AD00134"
7463304434,800,"Trinity Walk","Notting Hill Gate","Leicester","Cumbria","SO1 1AA","AD00135"
1510654763,975,"Watergate Street","Bloomsbury Square","Lincoln","Devon","WV1 2AA","AD00136"
5839161837,1218,"The Custard Factory","Marylebone High Street","Liverpool","Norfolk","CR1 3AA","AD00137"
7107101188,1346,"The Point","Barons Court Road","Coventry","Wiltshire","LS1 2AA","AD00138"
7077252256,1364,"Kirkgate","Alverstone Street","Birmingham","Buckinghamshire","OX1 1AA","AD00139"
4722520100,663,"The Broadway","The Crescent","York","Bedfordshire","HU1 3AA","AD00140"
3124132467,934,"Cathedral Quarter","Lauderdale Road","Plymouth","Devon","GL1 1AA","AD00141"
3392770922,429,"The BH1 Apartments","Marylebone High Street","Peterborough","Lincolnshire","EX1 2AA","AD00142"
9146255893,392,"The Lexington","Marylebone High Street","Exeter","Cumbria","B1 1AA","AD00143"
568178351,57,"Chapelfield Road","Chipping Norton Street","Ipswich","Norfolk","YO1 1AA","AD00144"
1398029653,1314,"The Broadway","Highbury Fields","Doncaster","Northumberland","WF1 2AA","AD00145"
3961611092,1445,"Waterfront","Addison Road","Northampton","Lancashire","TS1 3AA","AD00146"
811685195,383,"Lakeside Village","Kensington Palace Gardens","Kingston upon Hull","Dorset","TS1 3AA","AD00147"
2485299706,163,"The Elements","Barnsbury Road","Leeds","East Riding of Yorkshire","FY1 1AA","AD00148"
6552930984,972,"St Paul's Place","Highbury Fields","Reading","Herefordshire","WV1 1AA","AD00149"
1598038427,454,"The Silk Mill","Wilton Road","Lincoln","Cornwall","LE1 3AA","AD00150"
5680811235,1107,"Chapelfield Road","Weltjie Road","Manchester","Cheshire","SO1 1AA","AD00151"
1710499087,1313,"Waterfront","Parsons Green Lane","Liverpool","Hertfordshire","WV1 3AA","AD00152"
669397814,1466,"Linthorpe Road","Parsons Green Lane","Northampton","Cumbria","GL1 2AA","AD00153"
9553594603,576,"Southgate","Thornhill Road","Southampton","Cumbria","CA1 1AA","AD00154"
7059545212,1219,"Highcross Leicester","Barnsbury Road","Salisbury","Cornwall","FY1 2AA","AD00155"
7730306603,245,"City Walls","Gillespie Road","Rochdale","Cumbria","BN1 2AA","AD00156"
7489947162,939,"The Quays","Barnsbury Road","Birmingham","Norfolk","TS1 1AA","AD00157"
4599038598,1382,"Victoria Street","Parsons Green Lane","Liverpool","Northamptonshire","IP1 3AA","AD00158"
8397601740,1129,"Rivergate","Bloomsbury Square","Middlesbrough","South Yorkshire","EX1 3AA","AD00159"
5254431415,354,"The Strand","Bloomsbury Square","Chester","Essex","MK1 1AA","AD00160"
1940114950,67,"The Barbican","Sutherland Avenue","Southampton","Worcestershire","YO1 1AA","AD00161"
3235316701,1208,"Sutton Harbour","Lyttelton Road","Kingston upon Hull","Herefordshire","SO1 3AA","AD00162"
4327876836,529,"Highcross Leicester","The Boltons","Luton","City of London","MK1 3AA","AD00163"
1474506615,641,"The Docks","Bloomsbury Square","Luton","Greater London","LU1 2AA","AD00164"
5730407726,171,"Church Wharf","Chipping Norton Street","Peterborough","Cumbria","WF1 2AA","AD00165"
1936506793,1495,"The Randolph","Kensington Palace Gardens","Southampton","Lancashire","IP1 1AA","AD00166"
3469846820,1402,"Crusader Court","The Boltons","Dudley","Cambridgeshire","PL1 1AA","AD00167"
3886120708,1038,"The Rufus Centre","Bramerton Street","Nottingham","Hampshire","SP1 2AA","AD00168"
9546088706,334,"Minster Court","Bramerton Street","Exeter","Nottinghamshire","S1 1AA","AD00169"
2857700733,911,"The Rufus Centre","Bramerton Street","York","East Sussex","M1 1AA","AD00170"
2281915859,1012,"Trinity Leeds","Gillespie Road","Sunderland","East Riding of Yorkshire","CB1 3AA","AD00171"
5465303891,788,"Sutton Harbour","Highbury Fields","Blackpool","Nottinghamshire","B1 2AA","AD00172"
59185384,178,"The Broadway","The Crescent","Carlisle","Staffordshire","LU1 2AA","AD00173"
6394424005,1401,"Guildhall Square","Kensington Palace Gardens","Stoke-on-Trent","Berkshire","DE1 1AA","AD00174"
650297555,167,"Victoria Street","Marylebone High Street","Stoke-on-Trent","Worcestershire","DN1 3AA","AD00175"
5584374792,910,"The Bridges","Wilton Road","Peterborough","Worcestershire","LS1 3AA","AD00176"
1588961818,746,"The Brunel Centre","Fitzroy Square","Northampton","West Midlands","NG1 1AA","AD00177"
4537785667,480,"The Vines","Thornhill Road","Coventry","Rutland","S1 3AA","AD00178"
8762843095,172,"The Regency","Lyttelton Road","Gloucester","Devon","OX1 1AA","AD00179"
9117102316,1438,"Deansgate Quays","Elgin Avenue","Bournemouth","Leicestershire","GL1 2AA","AD00180"
7905409791,906,"The Triangle","Elgin Avenue","Dudley","Bedfordshire","CR1 2AA","AD00181"
1032582626,1476,"The Drapery","Chipping Norton Street","Leeds","West Sussex","BH1 1AA","AD00182"
6329642370,234,"The Avenue","Church Street","Brighton","Northamptonshire","DN1 2AA","AD00183"
7416589878,1225,"Southgate","Margravine Road","Blackburn","Greater Manchester","CB1 3AA","AD00184"
9136687995,46,"The Quadrant","Randolph Crescent","Birmingham","Lincolnshire","SO1 2AA","AD00185"
9233596761,1000,"Velocity Apartments","Alverstone Street","Sheffield","Oxfordshire","CB1 1AA","AD00186"
5150535230,1163,"The Pumphouse","Margravine Road","Luton","Lincolnshire","BD1 2AA","AD00187"
5103118963,1412,"Transporter Bridge Apartments","Lyttelton Road","Nottingham","Worcestershire","WV1 3AA","AD00188"
9725089383,449,"Bede House","Thornhill Road","Northampton","Merseyside","SN1 3AA","AD00189"
4187811702,1394,"The Butts","Bloomsbury Square","Exeter","Northumberland","BD1 3AA","AD00190"
4601559146,200,"Southgate Street","Wilton Road","Portsmouth","Somerset","LU1 1AA","AD00191"
6232987233,635,"Cathedral Green","Elgin Avenue","Ipswich","Cambridgeshire","TS1 3AA","AD00192"
7139287600,540,"The Broadway","Parsons Green Lane","Coventry","Warwickshire","RG1 3AA","AD00193"
9084298179,1172,"The Cube","Wilton Road","Brighton","Oxfordshire","DN1 2AA","AD00194"
7271711953,1191,"The Quadrant","Margravine Road","Rochdale","Isle of Wight","MK1 1AA","AD00195"
1493263358,823,"Midsummer Boulevard","Church Street","Bristol","East Sussex","FY1 2AA","AD00196"
45410119,600,"Kings Walk","Church Street","Brighton","East Riding of Yorkshire","LN1 2AA","AD00197"
2507671858,1064,"The Big One Apartments","The Boltons","Bradford","Cheshire","SP1 3AA","AD00198"
9787728533,1463,"The Broadway","Addison Road","Luton","Durham","LE1 3AA","AD00199"
8949756587,1082,"The Curve","Canonbury Grove","Reading","Greater London","TS1 2AA","AD00200"
1934777552,980,"The Lansdowne","Notting Hill Gate","Salisbury","Greater Manchester","BD1 3AA","AD00201"
1433394456,521,"The Barbican","Kensington Palace Gardens","Chester","Staffordshire","NG1 1AA","AD00202"
4416457529,1008,"Arena Central","Lyttelton Road","Norwich","Norfolk","BH1 2AA","AD00203"
6458646860,1335,"Frenchgate Shopping Centre","Highbury Fields","Blackburn","Worcestershire","TS1 1AA","AD00204"
3326670486,1499,"Bede House","Lauderdale Road","Middlesbrough","Isle of Wight","BN1 2AA","AD00205"
1010289918,27,"The Bridges","Parsons Green Lane","Chester","Berkshire","CH1 2AA","AD00206"
1659463440,325,"The Pumphouse","Alverstone Street","Bolton","East Sussex","EX1 3AA","AD00207"
548556415,656,"The Broadway","Barnsbury Road","Dudley","West Sussex","SP1 2AA","AD00208"
692092323,705,"Middlehaven","Weltjie Road","Brighton","Greater Manchester","BD1 2AA","AD00209"
867002042,1494,"The Distillery","Barons Court Road","Sunderland","Greater Manchester","SP1 3AA","AD00210"
2179093179,550,"Trinity Leeds","Gillespie Road","Sheffield","Shropshire","BS1 1AA","AD00211"
6684464700,456,"The iQ Wolverhampton","Addison Road","Chester","Devon","WD1 1AA","AD00212"
5627638974,624,"Gunwharf Quays","Church Street","Gloucester","Hertfordshire","WD1 1AA","AD00213"
1272640884,1328,"The Curve","Park Avenue Road","Stoke-on-Trent","Bristol","WD1 1AA","AD00214"
6150849791,679,"The General Hospital Quarter","The Crescent","Watford","Lancashire","MK1 2AA","AD00215"
3930214474,1474,"The Custard Factory","Gillespie Road","Bradford","South Yorkshire","FY1 1AA","AD00216"
1498521231,1030,"Sutton Harbour","Margravine Road","Derby","Northamptonshire","BS1 3AA","AD00217"
641314833,1028,"Victoria Street","Kensington Palace Gardens","Bradford","Nottinghamshire","LU1 3AA","AD00218"
1637385218,1293,"Wapping Wharf","Fitzroy Square","Luton","Northumberland","BN1 3AA","AD00219"
6421922074,469,"The Centre MK","The Boltons","Ipswich","Somerset","LU1 1AA","AD00220"
6502397832,758,"The Holbeck","Sutherland Avenue","Blackburn","Durham","BN1 1AA","AD00221"
4597443177,150,"St Paul's Place","Wimbledon Park Road","Birmingham","Derbyshire","LU1 1AA","AD00222"
1141176564,316,"Victoria Street","Alverstone Street","Coventry","South Yorkshire","HU1 3AA","AD00223"
8926883477,1378,"Kings Walk","Canonbury Grove","Manchester","Cumbria","WV1 2AA","AD00224"
5314664992,424,"Transporter Bridge Apartments","Marylebone High Street","Bristol","East Sussex","SO1 3AA","AD00225"
1763316602,918,"The Oracle Centre","Wilton Road","Bristol","Essex","CV1 1AA","AD00226"
3254319265,379,"Bournville Wharf","The Crescent","Norwich","East Riding of Yorkshire","BS1 1AA","AD00227"
8534372454,1210,"The Workstation","Addison Road","Doncaster","Northamptonshire","SO1 1AA","AD00228"
62808036,1143,"The Broadway","Margravine Road","Oxford","Cambridgeshire","DE1 3AA","AD00229"
1294946676,829,"The Maltings","Canonbury Grove","Wolverhampton","Nottinghamshire","BH1 2AA","AD00230"
2050372469,238,"City Park","Chipping Norton Street","Bolton","North Yorkshire","LN1 2AA","AD00231"
628613547,75,"The Centre MK","Highbury Fields","Swindon","Berkshire","BH1 3AA","AD00232"
7585597606,787,"The Bottle Yard Studios","Bramerton Street","Luton","Hampshire","NE1 3AA","AD00233"
5140180286,646,"Castlegate","Barons Court Road","Manchester","Greater Manchester","HU1 3AA","AD00234"
3496740256,1202,"The BH1 Apartments","Canonbury Grove","Rochdale","Oxfordshire","PL1 3AA","AD00235"
3177964092,661,"The Residence","Addison Road","Watford","Norfolk","CA1 2AA","AD00236"
2526514576,1006,"Transporter Bridge Apartments","Alverstone Street","Swindon","Buckinghamshire","EX1 2AA","AD00237"
7147438787,167,"Trinity Leeds","Alverstone Street","Milton Keynes","Merseyside","BL1 3AA","AD00238"
3981290763,1066,"The Randolph","Chipping Norton Street","Exeter","Herefordshire","SR1 2AA","AD00239"
3633802320,1410,"Southgate Street","Highbury Fields","Coventry","Cambridgeshire","BS1 2AA","AD00240"
796195439,1438,"Wapping Wharf","Lauderdale Road","Oxford","Surrey","B1 1AA","AD00241"
5962296877,1144,"Lace Market Wohnungen","Askew Road","Sheffield","Cambridgeshire","IP1 1AA","AD00242"
3814965264,747,"The Oracle Centre","Church Street","Southampton","Hampshire","BS1 3AA","AD00243"
8997672355,1376,"The Lexington","Canonbury Grove","Rochdale","Cambridgeshire","RG1 2AA","AD00244"
3264756463,972,"The Lace House","The Boltons","Sheffield","North Yorkshire","HU1 1AA","AD00245"
1884421784,628,"The General Hospital Quarter","Bloomsbury Square","Carlisle","Hampshire","FY1 2AA","AD00246"
9014703465,732,"The Silk Mill","Barnsbury Road","Plymouth","Cornwall","WF1 1AA","AD00247"
2479434346,239,"Watergate Street","Randolph Crescent","Kingston upon Hull","Hertfordshire","WV1 2AA","AD00248"
3858834238,1417,"Tombland","Margravine Road","Bolton","Derbyshire","DY1 2AA","AD00249"
2150640937,745,"The iQ Wolverhampton","Canonbury Grove","Luton","Hampshire","LS1 1AA","AD00250"
3674380250,55,"Blackburn Mall","Parsons Green Lane","Norwich","Northumberland","LN1 3AA","AD00251"
226444643,214,"Bede House","Chipping Norton Street","Rochdale","East Riding of Yorkshire","OX1 3AA","AD00252"
5210806944,205,"Christchurch Park Ipswich","Margravine Road","Chester","Isle of Wight","OX1 3AA","AD00253"
2039209700,376,"The Buttermarket","Fitzroy Square","Bristol","West Midlands","CH1 3AA","AD00254"
1085473767,871,"Bathurst Buildings","Sutherland Avenue","Swindon","Cornwall","DY1 2AA","AD00255"
9041757058,1011,"Sutton Harbour","Bloomsbury Square","Plymouth","East Sussex","PE1 2AA","AD00256"
27284670,970,"Leopold Square","Barnsbury Road","Rochdale","North Yorkshire","DE1 2AA","AD00257"
3170373269,605,"The Rows","Highbury Fields","Nottingham","Hertfordshire","LU1 1AA","AD00258"
3884887947,1143,"County Oak","Marylebone High Street","Leeds","West Midlands","B1 3AA","AD00259"
812350065,819,"Victoria Street","The Crescent","Lincoln","Rutland","WF1 1AA","AD00260"
8442405488,61,"Castle Quay Apartments","Church Street","Blackburn","Worcestershire","PL1 1AA","AD00261"
5833675111,1308,"The Exchange","Addison Road","Nottingham","Cambridgeshire","SN1 1AA","AD00262"
6258415822,885,"The Quay","Elgin Avenue","Milton Keynes","Devon","NR1 1AA","AD00263"
2551491991,537,"Manchester One","Gillespie Road","Blackpool","East Sussex","TS1 1AA","AD00264"
6541376581,1114,"County Oak","Elgin Avenue","Ipswich","Berkshire","WD1 2AA","AD00265"
6890883772,1064,"The Ruskin","Highbury Fields","Wakefield","Isle of Wight","CB1 3AA","AD00266"
3587266441,1265,"Grand Arcade","Lauderdale Road","Birmingham","Hertfordshire","CR1 2AA","AD00267"
2668635047,895,"The Promenade Apartments","Weltjie Road","Blackpool","Wiltshire","M1 2AA","AD00268"
9277289686,496,"Blackburn Mall","Kensington Palace Gardens","Birmingham","Wiltshire","IP1 2AA","AD00269"
9725674618,431,"The Custard Factory","Askew Road","Leeds","Essex","CB1 1AA","AD00270"
6326905036,630,"Steep Hill","Parsons Green Lane","Luton","Derbyshire","NR1 3AA","AD00271"
6667574870,304,"Lace Market Wohnungen","Notting Hill Gate","Sheffield","Surrey","TS1 3AA","AD00272"
6167127360,843,"Bathurst Buildings","Canonbury Grove","Gloucester","Greater Manchester","DN1 1AA","AD00273"
4682404725,499,"The Market Place","Barons Court Road","Plymouth","Worcestershire","EX1 2AA","AD00274"
2009818350,234,"The Hive","Chipping Norton Street","Leicester","Greater Manchester","MK1 3AA","AD00275"
