"Dimension_ID","Length","Width","Height"
"DM00483",105,101,78
"DM00484",6,19,2
"DM00485",70,97,17
"DM00486",11,40,20
"DM00487",16,12,24
"DM00488",65,90,95
"DM00489",61,97,28
"DM00490",59,94,56
"DM00491",45,27,21
"DM00492",65,82,19
"DM00493",63,3,24
"DM00494",81,95,97
"DM00495",68,25,49
"DM00496",96,35,36
"DM00497",95,7,70
"DM00498",21,20,99
"DM00499",49,34,57
"DM00500",110,63,10
"DM00501",18,43,10
"DM00502",5,12,84
"DM00503",107,108,92
"DM00504",86,22,59
"DM00505",44,46,54
"DM00506",46,47,23
"DM00507",43,60,6
"DM00508",27,72,70
"DM00509",71,18,83
"DM00510",20,95,73
"DM00511",64,92,47
"DM00512",14,61,45
"DM00513",57,42,53
"DM00514",10,7,22
"DM00515",31,32,43
"DM00516",88,51,39
"DM00517",86,19,68
"DM00518",26,90,77
"DM00519",108,44,98
"DM00520",84,21,81
"DM00521",91,22,41
"DM00522",75,25,11
"DM00523",11,71,79
"DM00524",101,3,97
"DM00525",61,63,30
"DM00526",95,109,100
"DM00527",5,73,22
"DM00528",81,20,15
"DM00529",64,30,51
"DM00530",78,95,106
"DM00531",106,61,59
"DM00532",68,6,25
"DM00533",37,59,3
"DM00534",84,94,69
"DM00535",26,11,28
"DM00536",75,109,34
"DM00537",31,39,30
"DM00538",48,75,97
"DM00539",14,98,44
"DM00540",2,45,62
"DM00541",10,16,74
"DM00542",25,59,58
"DM00543",93,36,68
"DM00544",97,47,10
"DM00545",93,101,48
"DM00546",59,76,44
"DM00547",27,61,70
"DM00548",109,27,71
"DM00549",71,5,14
"DM00550",36,100,1
"DM00551",22,26,90
"DM00552",39,38,41
"DM00553",110,82,47
"DM00554",90,6,66
"DM00555",86,52,71
"DM00556",78,29,26
"DM00557",19,30,24
"DM00558",85,10,43
"DM00559",87,103,70
"DM00560",47,24,67
"DM00561",22,57,21
"DM00562",84,17,28
"DM00563",69,90,43
"DM00564",27,24,36
"DM00565",64,28,91
"DM00566",67,73,30
"DM00567",40,92,78
"DM00568",48,26,95
"DM00569",6,45,89
"DM00570",61,91,41
"DM00571",23,52,83
"DM00572",79,88,16
"DM00573",57,45,50
"DM00574",33,28,107
"DM00575",18,87,93
"DM00576",58,40,17
"DM00577",65,33,97
"DM00578",4,27,60
"DM00579",37,40,10
"DM00580",6,18,101
"DM00581",76,11,8
"DM00582",48,99,62
"DM00583",64,86,24
"DM00584",86,30,6
"DM00585",1,97,37
"DM00586",70,7,40
"DM00587",106,53,82
"DM00588",35,92,67
"DM00589",74,101,69
"DM00590",65,105,23
"DM00591",2,31,32
"DM00592",29,75,9
"DM00593",22,59,57
"DM00594",60,27,15
"DM00595",25,70,48
"DM00596",84,101,18
"DM00597",27,107,102
"DM00598",6,99,38
"DM00599",80,96,14
"DM00600",74,73,11
"DM00601",31,78,54
"DM00602",36,110,74
"DM00603",56,100,61
"DM00604",73,60,27
"DM00605",53,37,28
"DM00606",65,91,12
"DM00607",107,50,43
"DM00608",87,108,85
"DM00609",47,40,56
"DM00610",96,23,77
"DM00611",44,86,109
"DM00612",36,42,15
"DM00613",88,53,16
"DM00614",72,101,71
"DM00615",41,66,39
"DM00616",35,16,72
"DM00617",99,2,18
"DM00618",109,78,64
"DM00619",13,20,77
"DM00620",92,35,97
"DM00621",57,108,34
"DM00622",46,70,25
"DM00623",51,87,88
"DM00624",86,88,107
"DM00625",89,6,97
"DM00626",61,107,67
"DM00627",97,41,8
"DM00628",70,44,44
"DM00629",25,78,17
"DM00630",65,57,105
"DM00631",21,70,80
"DM00632",75,68,63
"DM00633",56,32,9
"DM00634",52,101,40
"DM00635",98,69,41
"DM00636",81,46,71
"DM00637",80,41,50
"DM00638",15,67,18
"DM00639",100,29,93
"DM00640",77,49,41
"DM00641",84,105,50
"DM00642",81,93,104
"DM00643",24,96,51
"DM00644",110,52,8
"DM00645",89,70,44
"DM00646",12,65,45
"DM00647",107,8,57
"DM00648",3,80,42
"DM00649",47,22,28
"DM00650",91,11,74
"DM00651",72,71,56
"DM00652",27,110,35
"DM00653",37,10,77
"DM00654",28,25,79
"DM00655",99,39,12
"DM00656",54,56,47
"DM00657",99,26,9
"DM00658",17,81,93
"DM00659",83,72,73
"DM00660",77,4,64
"DM00661",106,81,95
"DM00662",98,89,95
"DM00663",74,32,45
"DM00664",73,88,94
"DM00665",101,98,109
"DM00666",70,97,92
"DM00667",105,109,103
"DM00668",108,92,3
"DM00669",99,2,92
"DM00670",103,92,91
"DM00671",59,23,84
"DM00672",86,61,93
"DM00673",43,71,8
"DM00674",90,15,91
"DM00675",26,79,110
"DM00676",67,107,32
"DM00677",23,50,105
"DM00678",91,86,56
"DM00679",67,27,41
"DM00680",79,6,98
"DM00681",60,14,29
"DM00682",92,101,9
"DM00683",61,36,77
"DM00684",57,27,29
"DM00685",30,71,28
"DM00686",50,44,50
"DM00687",108,5,6
"DM00688",98,14,35
"DM00689",9,96,95
"DM00690",70,13,52
"DM00691",93,88,97
"DM00692",45,94,86
"DM00693",99,22,40
"DM00694",15,29,34
"DM00695",37,95,84
"DM00696",2,10,98
"DM00697",73,105,25
"DM00698",108,21,49
"DM00699",30,50,41
"DM00700",89,16,94
"DM00701",95,41,18
"DM00702",42,77,93
"DM00703",46,18,23
"DM00704",25,33,22
"DM00705",15,105,1
"DM00706",18,84,84
"DM00707",14,16,94
"DM00708",73,60,1
"DM00709",56,105,104
"DM00710",41,79,104
"DM00711",75,76,20
"DM00712",33,5,4
"DM00713",58,23,14
"DM00714",54,42,9
"DM00715",78,23,67
"DM00716",100,77,39
"DM00717",2,82,96
"DM00718",31,6,40
"DM00719",94,44,109
"DM00720",69,65,83
"DM00721",76,11,99
"DM00722",13,68,100
"DM00723",97,63,46
"DM00724",44,101,27
"DM00725",31,108,80
"DM00726",58,104,2
"DM00727",4,102,94
"DM00728",23,48,5
"DM00729",1,62,48
"DM00730",42,25,9
"DM00731",7,39,31
"DM00732",33,45,94
"DM00733",81,54,61
"DM00734",58,26,107
"DM00735",32,31,21
"DM00736",63,28,73
"DM00737",30,109,51
"DM00738",1,75,25
"DM00739",35,13,1
"DM00740",53,67,75
"DM00741",67,61,98
"DM00742",76,107,105
"DM00743",38,7,96
"DM00744",85,42,16
"DM00745",93,87,85
"DM00746",54,31,66
"DM00747",63,83,42
"DM00748",91,5,44
"DM00749",48,42,98
"DM00750",99,61,62
"DM00751",3,95,47
"DM00752",64,67,57
"DM00753",13,82,93
"DM00754",88,14,4
"DM00755",34,66,82
"DM00756",7,61,85
"DM00757",66,76,68
"DM00758",85,2,78
"DM00759",41,3,75
"DM00760",35,51,95
"DM00761",5,50,66
"DM00762",68,99,24
"DM00763",8,68,94
"DM00764",85,14,11
"DM00765",24,95,44
"DM00766",94,15,102
"DM00767",68,32,22
"DM00768",46,27,54
"DM00769",10,57,18
"DM00770",89,36,16
"DM00771",76,60,86
"DM00772",110,45,110
"DM00773",95,63,106
"DM00774",57,32,81
"DM00775",90,5,19
"DM00776",110,96,10
"DM00777",79,56,90
"DM00778",104,17,34
"DM00779",100,3,15
"DM00780",105,66,97
"DM00781",14,101,21
"DM00782",71,59,43
"DM00783",101,108,109
"DM00784",60,33,96
"DM00785",64,75,17
"DM00786",80,9,75
"DM00787",7,36,25
"DM00788",56,22,103
"DM00789",20,102,30
"DM00790",63,22,45
"DM00791",68,45,87
"DM00792",18,69,70
"DM00793",78,46,99
"DM00794",54,17,52
"DM00795",69,73,95
"DM00796",109,11,34
"DM00797",33,63,89
"DM00798",68,69,27
"DM00799",93,41,19
"DM00800",103,83,89
"DM00801",8,84,75
"DM00802",26,28,43
"DM00803",69,23,97
"DM00804",33,96,60
"DM00805",98,54,9
"DM00806",10,20,109
"DM00807",97,80,44
"DM00808",35,41,110
"DM00809",89,31,65
"DM00810",31,64,54
"DM00811",92,29,51
"DM00812",37,43,59
"DM00813",76,22,97
"DM00814",17,66,9
"DM00815",77,101,81
"DM00816",77,81,15
"DM00817",63,59,15
"DM00818",11,46,12
"DM00819",76,83,23
"DM00820",84,17,48
"DM00821",50,38,99
"DM00822",107,109,1
"DM00823",101,45,69
"DM00824",72,12,2
"DM00825",74,53,108
"DM00826",72,83,52
"DM00827",105,41,10
"DM00828",77,6,14
"DM00829",66,17,97
"DM00830",78,55,12
"DM00831",20,81,7
"DM00832",104,21,63
"DM00833",79,82,90
"DM00834",110,65,76
"DM00835",109,77,80
"DM00836",23,52,52
"DM00837",38,76,16
"DM00838",97,88,104
"DM00839",34,38,56
"DM00840",83,2,95
"DM00841",57,21,25
"DM00842",77,6,105
"DM00843",72,84,83
"DM00844",93,109,6
"DM00845",37,57,93
"DM00846",96,10,45
"DM00847",30,66,24
"DM00848",73,78,42
"DM00849",51,46,61
"DM00850",39,84,26
"DM00851",63,6,78
"DM00852",41,16,40
"DM00853",42,59,36
"DM00854",24,74,84
"DM00855",61,73,7
"DM00856",110,94,92
"DM00857",81,24,45
"DM00858",57,95,105
"DM00859",29,26,7
"DM00860",42,100,15
"DM00861",84,80,51
"DM00862",38,41,82
"DM00863",36,93,88
"DM00864",75,39,11
"DM00865",89,77,54
"DM00866",33,56,5
"DM00867",3,14,53
"DM00868",57,106,2
"DM00869",81,56,76
"DM00870",69,30,69
"DM00871",47,106,63
"DM00872",10,55,39
"DM00873",106,71,9
"DM00874",90,103,104
"DM00875",106,24,26
"DM00876",2,8,29
"DM00877",57,90,6
"DM00878",58,21,40
"DM00879",98,33,38
"DM00880",100,72,106
"DM00881",109,95,55
"DM00882",65,90,70
"DM00883",7,29,27
"DM00884",14,53,109
"DM00885",25,74,28
"DM00886",9,80,107
"DM00887",47,105,83
"DM00888",102,47,65
"DM00889",35,24,51
"DM00890",19,62,60
"DM00891",78,63,65
"DM00892",64,72,48
"DM00893",3,17,87
"DM00894",32,5,61
"DM00895",68,25,48
"DM00896",77,2,98
"DM00897",72,91,20
"DM00898",92,71,33
"DM00899",103,48,42
"DM00900",107,107,33
"DM00901",108,4,67
"DM00902",51,14,65
"DM00903",78,109,103
"DM00904",57,43,38
"DM00905",47,35,87
"DM00906",107,59,47
"DM00907",32,3,32
"DM00908",42,30,93
"DM00909",20,2,28
"DM00910",18,36,38
"DM00911",33,100,88
"DM00912",11,104,5
"DM00913",86,23,42
"DM00914",41,46,91
"DM00915",84,13,39
"DM00916",26,83,35
"DM00917",55,84,61
"DM00918",20,51,99
"DM00919",5,52,15
"DM00920",83,28,90
"DM00921",71,85,95
"DM00922",16,98,74
"DM00923",40,19,57
"DM00924",21,57,90
"DM00925",72,99,92
"DM00926",63,77,81
"DM00927",86,36,14
"DM00928",101,95,103
"DM00929",64,34,44
"DM00930",78,17,14
"DM00931",43,96,45
"DM00932",107,45,35
"DM00933",51,95,9
"DM00934",105,12,108
"DM00935",80,68,33
"DM00936",43,26,53
"DM00937",3,96,98
"DM00938",59,22,62
"DM00939",17,95,81
"DM00940",85,25,25
"DM00941",66,80,89
"DM00942",74,110,105
"DM00943",19,97,82
"DM00944",76,46,27
"DM00945",79,45,105
"DM00946",63,71,58
"DM00947",40,11,50
"DM00948",71,73,28
"DM00949",67,101,91
"DM00950",109,44,14
"DM00951",33,9,45
"DM00952",58,94,36
"DM00953",105,67,98
"DM00954",22,47,16
"DM00955",3,69,83
"DM00956",59,110,32
"DM00957",45,83,81
"DM00958",49,88,69
"DM00959",50,107,49
"DM00960",24,59,27
"DM00961",74,101,6
"DM00962",81,7,10
"DM00963",93,31,73
"DM00964",53,78,48
"DM00965",93,103,22
"DM00966",59,28,85
"DM00967",85,68,50
"DM00968",108,95,42
"DM00969",25,1,57
"DM00970",93,81,94
"DM00971",81,16,110
"DM00972",47,76,14
"DM00973",75,109,29
"DM00974",65,94,101
"DM00975",69,39,42
"DM00976",27,105,24
"DM00977",95,75,68
"DM00978",2,74,71
"DM00979",36,78,105
"DM00980",93,25,86
"DM00981",58,21,90
"DM00982",49,9,64
"DM00983",96,69,105
"DM00984",76,78,8
"DM00985",63,33,96
"DM00986",28,25,12
"DM00987",108,104,49
"DM00988",69,72,105
"DM00989",107,2,61
"DM00990",23,70,54
"DM00991",66,36,13
"DM00992",52,42,66
"DM00993",87,79,48
"DM00994",76,79,48
"DM00995",109,10,78
"DM00996",40,109,11
"DM00997",104,35,12
"DM00998",74,31,93
"DM00999",11,82,33
"DM01000",59,78,86
