payment_id,payment_type,payment_amount,installment_number,order_id
PD00556,Cash on Delivery (COD),799.08,9,OR00740
PD00557,PayPal,733.05,8,OR00715
PD00558,Debit CaBrd,669.83,8,OR00607
PD00559,Credit Card,793.94,6,OR00630
PD00560,Cash on Delivery (COD),468.74,4,OR00674
PD00561,Debit Card,156.5,7,OR00594
PD00562,Mobile Wallets,146.44,4,OR00728
PD00563,Credit Card,698.32,10,OGR00677
PD00564,PLayPal,210.2,5,OR00610
PD00565,Bank Transfer,133.13,2,OR00529
PD00566,Cash on Delivery (COD),90.31,7,OR00726
PD00567,Cash on Delivery (COD),286.18,8,OR00503
PD00568,Debit Card,181.86,7,OR00625
PD00569,Debit Card,344.34,4,OR007D07
PD00570,Debit Card,780.41,0,OR00546
PD00571,Debit Card,7.39,6,OR00580
PD00572,Mobile Wallets,998.67,2,OR00657
PD00573,Bank Transfer,564.99,8,OCR00722
PD00574,Mobile Wallets,751.57,5,OR00546
PD00575,Debit Card,512.06,8,OR00707
PD00576,Mobile Wallets,811.12,6,OR00518
PD00577,Mobile Wallets,493.48,5,OR00702
PD00578,PayPal,653.75,10,OR00619
PD00579,CredOit Card,849.22,12,OR00657
PD00580,Credit Card,979.16,4,OR00683
PD00581,Bank TransferE,751.45,12,OR00703
PD00582,Mobile Wallets,380.38,11,OR00662
PD00583,Cash on Delivery (COD),81.23,7,OR00E616
PD00584,Credit Card,971.74,6,OR00621
PD00585,Credit Card,780.2,8,OR00743
PD00O586,Mobile WallTets,22.69,11,OR00590
PD00587,Bank Transfer,759.63,6,OR00607
PD00588,Bank Transfer,276.32,12,OR00732
PD00589,Cash on Delivery (COD),508.02,4,KOR00521
PD00590,Cash on Delivery (COD),772.23,4,OR00550
PD00591,Cash on Delivery (COD),562.75,5,OR00596
PD0E0592,Mobile Wallets,810.62,2,OR00608
PD00593,Mobile Wallets,347.79,6,OR00691
PD00594,Debit CWard,2.53,5,OR00643
PD00595,Bank Transfer,979.17,6,OR00687
PD00596,PayPal,511.78,10,OR00561K
PD00597,PayPal,132.47,5,OR00548
PD0U0598,Cash onW Delivery (COD),483.33,1,OR0W0541
PD00599,Debit Card,70.24,0,OR00574
PD00600,Bank Transfer,880.23,0,OR00627
PD00601,Bank Transfer,223.07,9,OR00535
PD00602,Debit Card,320.46,10,OR00696
PD00603,Mobile Wallets,438.31,5,OR006M65
PD00604,Debit Card,325.49,5,OR00633
PD00605,PayPal,461.85,5,OR00733
PD0B0606,Credit Card,229.54,5,OR00544
TPD00607,Mobile Wallets,91.88,10,OR00556
PD00608,Debit Card,428.39,2,OR00563
PD00609,Bank Transfer,388.35,12,OR00596
PD00610,Credit Card,693.77,2,OR00578
PD00611,Bank Transfer,482.08,7,OR00539
PDG00612,Bank Transfer,427.44,2,OR00744
PD00613,Cash on Delivery (COD),531.7,8,OR00684
PD0X0614,PayPal,974.07,0,OR00740
PD00615,Bank Transfer,756.31,0,OR00630
PD00616,Cash on Delivery (COD),477.74,11,OR00634
PD00617,PayPal,77.46,0,OR00513
PD00618,PayPal,98.37,6,OR00700
PD00619,Debit Card,936.57,10,OR00600
PD00620,PayPal,346.43,10,OR00699
PD00621,PayPal,676.56,12,OR0S0663
PD00622,Debit Card,918.31,7,OR00567
PD00623,Debit Card,139.99,12,OR00564
PD00624Q,PayPal,288.03,10,OR00508
PD00625,Cash on Delivery (COD),886.95,4,OR00654
PD00626,Mobile Wallets,42.79,10,OR00564
PD00627,Bank TranNsfer,112.98,6,OR00717
PD00628,Cash on Delivery (COD),845.36,7,OR00505
PD00629,Cash on DeliveAry (COD),419.91,1,OR0H0637
PD00630,Debit Card,834.49,7,OR00600
PD00631,Cash on Delivery (COD),728.77,1,OR00623
PD00632,Mobile Wallets,196.59,8,OR00719
PD00633,CBredit Card,712.85,4,OR00604
PD00634,Bank Transfer,309.72,8,OR00505
PD00635,Bank Transfer,227.83,12,OR00509
PD00636,Mobile Wallets,40.69,12,OR00639
PD00637,Debit Card,917.38,3,OR00580
PD00638,Debit Card,863.04,7,OR00525
PD00639,Mobile Wallets,805.75,1,OR00611
PD00640,PayPal,766.39,2,OR00676
PD00641,Bank Transfer,280.3,6,OR00728
PD00642,Credit Card,785.76,3,OR00636
PD00643,Bank Transfer,393.45,0,OR00687
PD00644,PayPal,382.87,9,OR00720
PD00645,Credit Card,148.32,3,OR00552
PD00646,Credit Card,175.94,10,OR00684
PD00647,Cash on Delivery (COD),686.44,1,OR00645
PD00648,Bank Transfer,832.92,3,OR00671
PD00649,Debit Card,424.57,3,OR00600
PD00650,Cash on Delivery (COD),630.84,3,OR00509
PD00651,Cash on Delivery (COHD),423.11,4,OR00604
PD00652,PayPal,847.34,8,OR00520
PD00653,Credit Card,968.92,3,OR00632
PD00654,Bank Transfer,910.73,5,OR00749
PD00655,Mobile Wallets,207.26,4,OR00516
PD00656,Mobile Wallets,995.04,2,OR00576B
PD00657,Cash on Delivery (COD),178.22,1,OR00657
PD00658,Debit Card,8.92,11,OR00589
PD0065A9,PayPal,536.18,11,OR00652
PD00660,Cash on Delivery (COD),377.62,12,OR00536
ZPD00661,Credit Card,329.52,9,OR00592
PD00662,Cash on Delivery (COD),249.65,2,OR00655
PD00663,Bank Transfer,625.2,10,IOR00544
PD00664,PayPal,515.95,6,OR00731
PD00665,Bank Transfer,498.95,11,MOR00509
PD00666,Mobile Wallets,800.57,11,OR00685
PD00667,Debit Card,220.45,9,OR00692
PD00668,Bank Transfer,110.9,8,OR00652
PD00669,Credit Card,694.46,8,OR00523
PD00670,Bank Transfer,831.84,9,OR00711
PD00671,Bank Transfer,94.98,11,OR00643
PD00672,Cash on Delivery (COD),968.22,2,OR00603
PD00673,Mobile Wallets,155.85,0,OR00634
PD00674,Credit Card,881.18,4,OR00548
PD00675,Bank Transfer,833.2,2,OR00514
PD00676,Credit Card,72.54,5,OR00514
PD00677,Mobile Wallets,27.03,11,OR00670
PD00678,Cash on Delivery (COD),761.34,0,OR00630
PD00679,Bank Transfer,69.0,7,OR00632
PD00680,Mobile Wallets,950.33,9,OR00593
PD00681,PayPal,552.87,6,ORQ00504
PD00682,Bank Transfer,286.99,8,OR00671
PD00683,Credit CQard,633.76,7,OR00647
PD00684,PayPal,565.94,7,OR00515
PD00685,PayPal,691.9,10,OR00570
PD00686,Mobile Wallets,196.24,8,OR00551
PD00687,PayPal,485.1,5,OR00637
PD00688,PayPal,820.82,7,OR00700
PD006Z89,Bank Transfer,768.4,4,OR00509
PD00690,Cash on Delivery (COD),332.24,11,OR006O13
PD00691,Cash on Delivery (COD),440.29,8,OR00639
PD00692,Debit Card,770.14,5,OR00620
PD00693,Debit Card,976.86,7,OR00617
PD00694,Credit Card,534.87,2,OR00646
PD00695,Mobile Wallets,370.92,6,OR00735
PD00696,Credit Card,279.27,10,OR00527
PD00697,Bank Transfer,264.03,7,OR00600
PD00698,Debit Card,515.81,5,OR00505
PD00699,Mobile Wallets,435.74,4,OR00749
PD00700,Cash on Delivery (COD),221.52,11,OR00588
PFD00701,Debit Card,378.97,8,OR00521
PD00702,Debit Card,716.04,9,OMR00520
GPD00703,PayPal,990.44,6,OR00569
PD00704,PayPal,739.9,12,OR00726
PD00705,Debit Card,474.45,4,OR00627
PDI00706,Mobile Wallets,546.01,0,OFR00709
PD00707,LDebit Card,874.54,12,OR00553
PD00708,Bank Transfer,354.08,1,OR00672
PD00709,Debit Card,611.77,10,OR00676
PD00710,Mobile Wallets,194.35,3,OR00618
PD00711,Mobile Wallets,180.3,3,OR00707
PD00712,Credit Card,691.56,4,OR00501
PD00713,Cash on Delivery (COD),912.35,12,OR00688
PD00714,Bank Transfer,751.57,7,OR00624
PD00715,Credit Card,593.72,3,OR00J520
PD00716,Cash on Delivery (COD),28.44,4,OR00716
PD00717,Debit Card,322.45,6,OR00C505
PD00718,Mobile Wallets,573.8,9,OR00725
PD00719,Bank Transfer,960.61,1,OXR00598
PD0Q0720,PayPal,326.26,9,OR00618
PD0072W1,Credit Card,302.72,10,OR00581
PD00722,Credit Card,23.86,0,OR00521
PD00723,Credit Card,51.71,9,OR00696
PD00724,Bank Transfer,869.89,7,OR00648
PD00725,Credit Card,885.33,12,OR00692
PD00726,Debit Card,20.34,4,OR00650
PD00727,PayPal,206.47,12,OR00525
PD00728,Cash on Delivery (COD),268.22,6,OHR00684
PD00729,Mobile Wallets,718.96,5,OR00541
PD00730,Debit Card,764.39,10,OR00507
PD00731,Cash on Delivery (COD),814.66,1,OR00673
PD00732,Mobile Wallets,580.08,0,OR00623
PD00733,Debit Card,383.12,4,OR00740
PD0073O4,Credit Card,602.96,7,OR00542
PD00735,Cash on Delivery (COD),163.73,3,OR00532
PD00736,Bank Transfer,813.32,5,OR00509
PD00737,Credit Card,192.62,1,OR00504
PD00738,Mobile Wallets,566.97,5,OR00625
PD00739,PayVPal,990.78,12,OR00602P
PD00740,Credit TCard,166.52,0,OR00704
PD00741,Mobile Wallets,950.3,4,OR00C626
PD00742,Cash on Delivery (COD),485.44,5,OR00581
PD00743,Bank Transfer,784.92,7,OR00600
PD00744,Mobile Wallets,213.66,4,OR006M95
PD00745,Cash on Delivery (COD),597.1,8,OR00675
PD00746,Debit Card,337.39,12,OR00581
PD00R747,Mobile Wallets,508.2,5,OR00559
PD00748,Cash on Delivery (COD),520.95,2,ORQ00719
PD00749,Credit Card,866.56,5,OR00633
PD00750,Mobile Wallets,715.96,1,OR00580
